iteration,0,1,2,3,4,5,6,7,8,9,10,11
1020,29729,8887,9770,6591,1723,295,67,12,3,0,0,0
1030,29671,8987,9723,6619,1698,296,67,15,1,0,0,0
1040,29608,8997,9847,6614,1620,306,67,14,2,2,0,0
1050,29667,8921,9886,6548,1654,310,70,16,3,2,0,0
1060,29599,9062,9808,6512,1723,291,63,15,3,1,0,0
1070,29634,8992,9768,6671,1629,298,69,12,4,0,0,0
1080,29689,8987,9698,6589,1741,292,69,9,1,2,0,0
1090,29720,8881,9801,6596,1700,293,68,15,1,0,2,0
1100,29767,8868,9676,6707,1667,303,76,9,3,0,1,0
1110,29787,8827,9741,6626,1706,302,65,19,3,1,0,0
1120,29741,8918,9673,6673,1670,319,66,13,4,0,0,0
1130,29629,8944,9884,6574,1678,287,73,6,2,0,0,0
1140,29665,8897,9852,6627,1667,302,52,15,0,0,0,0
1150,29686,8917,9782,6637,1689,290,55,19,2,0,0,0
1160,29616,8993,9810,6634,1655,298,53,11,6,1,0,0
1170,29602,9007,9858,6564,1661,309,61,13,2,0,0,0
1180,29713,8859,9829,6621,1683,287,66,18,1,0,0,0
1190,29637,8896,9916,6639,1618,290,59,21,0,1,0,0
1200,29672,8926,9837,6593,1649,317,67,13,3,0,0,0
1210,29669,8913,9847,6583,1695,292,67,9,2,0,0,0
1220,29724,8784,9934,6593,1659,306,63,10,4,0,0,0
1230,29680,8913,9866,6566,1634,332,67,16,3,0,0,0
1240,29678,8961,9735,6657,1652,317,60,14,3,0,0,0
1250,29694,8936,9745,6638,1680,305,65,11,2,1,0,0
1260,29621,9025,9743,6653,1658,302,63,10,1,1,0,0
1270,29576,9042,9846,6573,1672,291,61,13,3,0,0,0
1280,29582,9079,9801,6575,1637,315,72,12,4,0,0,0
1290,29627,9039,9732,6622,1671,308,67,7,3,1,0,0
1300,29644,8999,9769,6603,1672,311,66,12,1,0,0,0
1310,29637,8956,9848,6599,1637,330,61,8,1,0,0,0
1320,29669,8894,9921,6534,1664,304,75,15,1,0,0,0
1330,29714,8866,9828,6595,1694,302,66,9,2,1,0,0
1340,29632,8951,9835,6633,1662,288,66,8,1,1,0,0
1350,29687,8900,9780,6718,1598,310,71,10,2,1,0,0
1360,29721,8844,9820,6657,1656,293,74,8,3,1,0,0
1370,29763,8885,9673,6659,1719,295,64,18,1,0,0,0
1380,29773,8826,9773,6608,1702,316,65,9,5,0,0,0
1390,29743,8793,9901,6547,1706,323,49,12,3,0,0,0
1400,29726,8872,9805,6589,1692,319,54,19,1,0,0,0
1410,29734,8951,9689,6582,1700,336,73,12,0,0,0,0
1420,29771,8790,9836,6609,1671,316,65,18,1,0,0,0
1430,29689,8919,9804,6602,1661,327,63,9,3,0,0,0
1440,29719,8871,9831,6581,1676,314,69,15,1,0,0,0
1450,29685,8933,9795,6576,1705,309,61,9,4,0,0,0
1460,29652,8985,9793,6587,1662,310,70,17,1,0,0,0
1470,29749,8880,9722,6660,1683,281,87,9,3,3,0,0
1480,29663,9009,9672,6684,1667,307,58,16,0,1,0,0
1490,29710,8869,9755,6743,1628,291,69,9,2,1,0,0
1500,29754,8877,9688,6690,1694,291,61,19,3,0,0,0
1510,29677,8957,9739,6641,1703,275,65,18,2,0,0,0
1520,29752,8877,9704,6654,1722,288,63,13,3,1,0,0
1530,29671,8988,9749,6575,1696,323,60,14,0,1,0,0
1540,29743,8840,9802,6626,1698,271,76,16,5,0,0,0
1550,29730,8863,9772,6681,1633,314,68,12,3,1,0,0
1560,29638,8971,9844,6547,1697,307,59,12,2,0,0,0
1570,29649,8962,9769,6657,1686,277,65,9,3,0,0,0
1580,29619,8994,9791,6669,1622,300,69,12,1,0,0,0
1590,29664,8919,9865,6568,1692,276,78,12,3,0,0,0
1600,29587,9041,9802,6593,1699,286,57,11,1,0,0,0
1610,29553,9114,9789,6565,1681,296,67,12,0,0,0,0
1620,29629,9002,9782,6625,1657,304,61,15,1,1,0,0
1630,29663,9008,9734,6594,1681,308,72,13,4,0,0,0
1640,29611,8990,9858,6590,1631,316,71,9,1,0,0,0
1650,29679,8933,9808,6584,1694,295,66,15,3,0,0,0
1660,29648,9008,9782,6532,1733,287,67,20,0,0,0,0
1670,29657,8961,9784,6612,1699,285,66,9,4,0,0,0
1680,29717,8889,9781,6601,1711,305,59,12,2,0,0,0
1690,29768,8814,9789,6638,1665,321,69,12,1,0,0,0
1700,29712,8885,9775,6641,1690,299,63,10,2,0,0,0
1710,29714,8901,9777,6584,1730,294,62,12,3,0,0,0
1720,29654,8839,9970,6619,1627,293,59,14,2,0,0,0
1730,29656,8919,9780,6738,1630,277,62,13,2,0,0,0
1740,29654,8975,9816,6563,1675,310,61,19,4,0,0,0
1750,29676,8918,9821,6616,1664,300,64,15,3,0,0,0
1760,29755,8787,9883,6591,1651,325,74,10,1,0,0,0
1770,29735,8821,9858,6608,1656,317,69,11,2,0,0,0
1780,29711,8871,9823,6626,1644,322,67,11,1,1,0,0
1790,29717,8855,9792,6672,1659,316,57,8,1,0,0,0
1800,29686,8865,9801,6726,1639,295,56,7,2,0,0,0
1810,29745,8806,9812,6665,1681,294,61,12,1,0,0,0
1820,29718,8845,9804,6661,1687,291,61,9,0,1,0,0
1830,29652,8990,9722,6676,1668,287,67,14,1,0,0,0
1840,29611,8906,9900,6695,1630,261,61,9,4,0,0,0
1850,29617,8980,9840,6598,1675,291,66,8,2,0,0,0
1860,29600,9098,9739,6557,1697,299,68,15,2,2,0,0
1870,29573,8958,10027,6475,1680,287,59,13,5,0,0,0
1880,29526,9075,9879,6586,1655,282,66,5,2,1,0,0
1890,29557,9066,9809,6664,1597,314,50,17,3,0,0,0
1900,29722,8858,9787,6648,1702,286,58,13,3,0,0,0
1910,29695,8915,9799,6621,1645,305,86,9,1,1,0,0
1920,29678,8920,9825,6572,1725,273,64,18,2,0,0,0
1930,29614,9045,9715,6672,1663,292,62,10,4,0,0,0
1940,29662,8971,9734,6662,1683,286,67,8,4,0,0,0
1950,29650,8865,9958,6583,1664,275,64,13,4,1,0,0
1960,29621,8984,9836,6606,1661,287,58,17,6,1,0,0
1970,29551,9083,9809,6608,1672,282,55,12,5,0,0,0
1980,29631,8988,9819,6598,1642,322,65,7,5,0,0,0
1990,29603,9009,9834,6589,1683,276,64,15,4,0,0,0
2000,29757,8824,9788,6635,1674,330,60,6,3,0,0,0
2010,29692,8903,9748,6712,1665,280,62,11,3,1,0,0
2020,29664,8905,9824,6652,1675,290,53,12,2,0,0,0
2030,29584,9058,9793,6601,1669,300,58,9,2,3,0,0
2040,29630,8966,9855,6608,1614,321,70,8,5,0,0,0
2050,29600,9032,9763,6690,1618,287,73,8,6,0,0,0
2060,29659,8887,9926,6564,1673,278,71,15,3,1,0,0
2070,29654,8940,9902,6504,1669,327,63,13,4,1,0,0
2080,29608,9012,9835,6560,1697,284,65,13,1,2,0,0
2090,29645,8950,9846,6584,1684,281,73,9,4,1,0,0
2100,29687,8868,9902,6563,1664,317,61,11,4,0,0,0
2110,29598,8935,9959,6570,1655,283,62,13,2,0,0,0
2120,29621,9000,9814,6592,1676,291,68,14,1,0,0,0
2130,29659,8938,9825,6613,1659,300,69,12,2,0,0,0
2140,29665,8939,9834,6578,1670,309,66,13,3,0,0,0
2150,29682,8911,9837,6608,1636,314,71,16,2,0,0,0
2160,29615,8982,9848,6616,1635,296,67,15,3,0,0,0
2170,29571,8996,9960,6523,1637,316,58,12,4,0,0,0
2180,29651,8936,9857,6584,1663,313,57,12,4,0,0,0
2190,29624,8954,9887,6600,1616,311,66,18,1,0,0,0
2200,29652,8924,9902,6599,1574,330,71,21,3,1,0,0
2210,29653,8954,9848,6568,1661,304,66,21,2,0,0,0
2220,29674,8932,9845,6529,1717,304,55,19,1,1,0,0
2230,29613,9034,9819,6544,1671,311,65,17,2,1,0,0
2240,29603,9016,9864,6507,1727,276,67,14,3,0,0,0
2250,29587,9017,9878,6557,1650,312,63,10,2,1,0,0
2260,29646,8974,9781,6633,1664,302,65,10,2,0,0,0
2270,29651,8995,9727,6671,1645,307,69,10,2,0,0,0
2280,29613,9010,9816,6629,1597,321,83,7,1,0,0,0
2290,29615,9015,9777,6667,1611,307,69,14,2,0,0,0
2300,29818,8725,9845,6593,1698,316,64,17,1,0,0,0
2310,29761,8870,9690,6708,1635,333,63,16,1,0,0,0
2320,29761,8859,9698,6713,1666,286,72,19,3,0,0,0
2330,29600,8992,9900,6534,1670,298,69,13,1,0,0,0
2340,29598,9004,9822,6663,1615,293,64,14,3,1,0,0
2350,29704,8921,9707,6739,1616,307,61,17,4,1,0,0
2360,29721,8866,9875,6548,1653,308,79,25,2,0,0,0
2370,29591,9029,9824,6602,1654,303,58,13,3,0,0,0
2380,29740,8828,9799,6666,1675,284,68,11,6,0,0,0
2390,29774,8833,9738,6650,1692,310,63,14,3,0,0,0
2400,29736,8849,9787,6660,1657,303,69,12,3,1,0,0
2410,29658,8940,9811,6643,1648,295,61,15,6,0,0,0
2420,29665,8951,9775,6632,1685,292,64,8,5,0,0,0
2430,29531,9049,9914,6586,1634,289,59,13,2,0,0,0
2440,29655,8935,9829,6618,1665,296,68,8,1,2,0,0
2450,29669,8938,9817,6589,1675,316,57,13,2,1,0,0
2460,29681,8879,9924,6503,1690,331,58,10,1,0,0,0
2470,29702,8843,9884,6600,1660,314,64,8,2,0,0,0
2480,29578,9008,9868,6606,1661,284,58,9,5,0,0,0
2490,29617,8977,9849,6631,1610,309,68,12,4,0,0,0
2500,29739,8853,9806,6644,1606,345,64,14,5,1,0,0
2510,29636,8966,9868,6554,1660,309,64,16,4,0,0,0
2520,29715,8851,9804,6677,1654,306,54,11,5,0,0,0
