iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
960,29608,9021,9789,6632,1648,297,71,9,2,0,0,0,0
970,29544,9094,9821,6599,1654,280,69,15,0,1,0,0,0
980,29575,9038,9802,6680,1611,295,62,9,4,1,0,0,0
990,29643,8916,9883,6610,1653,296,63,10,2,1,0,0,0
1000,29695,8876,9809,6690,1628,295,65,16,3,0,0,0,0
1010,29591,9048,9798,6623,1620,312,73,10,2,0,0,0,0
1020,29587,8981,9902,6598,1636,298,62,12,1,0,0,0,0
1030,29604,9035,9827,6531,1706,296,59,15,4,0,0,0,0
1040,29762,8806,9821,6621,1666,326,61,8,4,2,0,0,0
1050,29695,8915,9819,6581,1668,316,57,22,3,1,0,0,0
1060,29734,8914,9676,6682,1694,294,66,13,4,0,0,0,0
1070,29699,8822,9902,6649,1625,294,74,7,4,1,0,0,0
1080,29701,8846,9812,6709,1657,276,62,12,2,0,0,0,0
1090,29675,8866,9824,6746,1603,283,65,13,1,1,0,0,0
1100,29675,8926,9802,6625,1669,306,57,12,5,0,0,0,0
1110,29686,8930,9800,6611,1647,316,68,15,3,1,0,0,0
1120,29692,8927,9752,6660,1671,292,63,16,4,0,0,0,0
1130,29690,8947,9727,6656,1671,303,74,7,2,0,0,0,0
1140,29699,8916,9753,6654,1677,302,62,10,3,1,0,0,0
1150,29711,8878,9759,6691,1669,298,57,12,2,0,0,0,0
1160,29643,8946,9810,6653,1653,304,58,8,2,0,0,0,0
1170,29644,8967,9825,6589,1664,309,63,14,2,0,0,0,0
1180,29612,8990,9794,6670,1654,284,60,11,2,0,0,0,0
1190,29655,8950,9801,6617,1681,307,51,11,4,0,0,0,0
1200,29537,9071,9888,6562,1651,283,73,9,3,0,0,0,0
1210,29580,8981,9890,6631,1656,258,64,13,3,0,1,0,0
1220,29651,8912,9883,6598,1667,284,62,16,3,1,0,0,0
1230,29672,8967,9746,6616,1705,296,59,12,4,0,0,0,0
1240,29641,8949,9913,6494,1696,292,74,13,4,1,0,0,0
1250,29651,8937,9841,6628,1634,295,78,9,4,0,0,0,0
1260,29747,8790,9894,6607,1633,307,85,11,3,0,0,0,0
1270,29795,8843,9731,6583,1701,344,63,15,2,0,0,0,0
1280,29762,8793,9910,6476,1743,310,70,10,3,0,0,0,0
1290,29686,8985,9767,6548,1661,330,84,12,4,0,0,0,0
1300,29622,9049,9720,6637,1678,285,69,10,7,0,0,0,0
1310,29663,8874,9876,6646,1661,287,59,8,3,0,0,0,0
1320,29652,8978,9793,6553,1743,283,61,11,3,0,0,0,0
1330,29727,8822,9872,6602,1675,289,73,15,1,1,0,0,0
1340,29684,8811,9989,6561,1654,300,63,11,3,0,1,0,0
1350,29652,8958,9842,6549,1701,293,63,12,6,1,0,0,0
1360,29685,8967,9765,6532,1748,300,71,6,3,0,0,0,0
1370,29673,8949,9765,6639,1664,311,69,4,2,0,0,0,1
1380,29642,8908,9847,6673,1665,275,51,14,1,1,0,0,0
1390,29737,8868,9772,6585,1755,282,69,7,1,1,0,0,0
1400,29770,8840,9740,6654,1673,317,67,12,4,0,0,0,0
1410,29803,8803,9771,6555,1763,295,74,8,5,0,0,0,0
1420,29665,8988,9726,6626,1696,301,59,13,2,1,0,0,0
1430,29641,8990,9803,6536,1750,287,57,9,3,1,0,0,0
1440,29706,8911,9788,6593,1680,321,61,16,1,0,0,0,0
1450,29695,8904,9811,6591,1712,275,71,15,3,0,0,0,0
1460,29588,9112,9695,6649,1637,315,67,9,5,0,0,0,0
1470,29549,9100,9788,6628,1641,289,67,14,1,0,0,0,0
1480,29626,8995,9794,6630,1654,300,60,16,2,0,0,0,0
1490,29609,9033,9803,6566,1682,308,63,11,1,1,0,0,0
1500,29692,8866,9873,6612,1641,308,72,11,2,0,0,0,0
1510,29728,8892,9786,6598,1655,330,71,13,4,0,0,0,0
1520,29729,8882,9706,6702,1698,288,63,5,4,0,0,0,0
1530,29718,8852,9817,6677,1613,312,74,11,1,1,1,0,0
1540,29706,8875,9828,6602,1683,307,61,13,2,0,0,0,0
1550,29864,8725,9716,6686,1673,329,68,12,3,1,0,0,0
1560,29710,8889,9786,6623,1696,296,60,13,4,0,0,0,0
1570,29627,8950,9873,6616,1617,316,65,10,2,1,0,0,0
1580,29670,8893,9816,6716,1609,289,69,12,2,1,0,0,0
1590,29643,8975,9750,6706,1628,294,67,12,2,0,0,0,0
1600,29647,8985,9814,6558,1685,300,70,14,4,0,0,0,0
1610,29679,8965,9698,6699,1658,298,67,11,0,2,0,0,0
1620,29634,8960,9820,6636,1656,294,66,9,2,0,0,0,0
1630,29661,8896,9854,6658,1642,279,75,10,2,0,0,0,0
1640,29630,8924,9848,6688,1624,290,64,9,0,0,0,0,0
1650,29750,8796,9836,6647,1665,308,58,16,1,0,0,0,0
1660,29697,8819,9923,6619,1637,300,69,11,2,0,0,0,0
1670,29639,8903,9904,6639,1609,300,71,9,3,0,0,0,0
1680,29705,8847,9892,6562,1683,317,58,9,4,0,0,0,0
1690,29553,9052,9869,6614,1596,314,63,15,1,0,0,0,0
1700,29642,8991,9786,6614,1658,293,78,13,2,0,0,0,0
1710,29687,8918,9795,6629,1664,291,82,9,2,0,0,0,0
1720,29683,8956,9755,6599,1705,296,70,10,3,0,0,0,0
1730,29680,8938,9737,6700,1646,289,75,10,2,0,0,0,0
1740,29616,8903,9939,6624,1639,279,67,9,1,0,0,0,0
1750,29665,8909,9845,6617,1672,292,63,11,3,0,0,0,0
1760,29711,8945,9711,6634,1688,299,69,14,5,1,0,0,0
1770,29818,8783,9728,6661,1690,311,68,12,6,0,0,0,0
1780,29744,8841,9835,6568,1689,318,61,18,3,0,0,0,0
1790,29669,8899,9836,6672,1628,280,76,14,3,0,0,0,0
1800,29656,8951,9750,6708,1661,264,74,10,3,0,0,0,0
1810,29743,8785,9868,6637,1684,273,71,10,6,0,0,0,0
1820,29712,8792,9916,6641,1650,287,64,9,6,0,0,0,0
1830,29605,9006,9852,6567,1670,302,55,15,4,1,0,0,0
1840,29658,8943,9783,6686,1638,278,75,10,6,0,0,0,0
1850,29660,8955,9841,6549,1669,317,74,9,2,1,0,0,0
1860,29649,9001,9708,6701,1629,308,68,11,2,0,0,0,0
1870,29679,8905,9837,6606,1670,302,61,14,2,0,1,0,0
1880,29774,8770,9828,6641,1677,320,54,8,5,0,0,0,0
1890,29658,8935,9852,6573,1671,311,64,10,2,0,1,0,0
1900,29715,8876,9803,6622,1675,302,73,7,4,0,0,0,0
1910,29738,8798,9864,6627,1676,300,58,11,4,1,0,0,0
1920,29749,8831,9751,6689,1708,272,57,17,3,0,0,0,0
1930,29666,8932,9798,6657,1641,307,61,8,6,1,0,0,0
1940,29589,9080,9773,6571,1685,298,63,15,2,1,0,0,0
1950,29643,8874,9903,6674,1632,276,62,10,2,1,0,0,0
1960,29629,8980,9829,6591,1672,302,55,14,5,0,0,0,0
1970,29661,8861,9961,6543,1680,297,61,10,3,0,0,0,0
1980,29753,8836,9818,6555,1741,294,61,13,5,1,0,0,0
1990,29663,8907,9900,6536,1680,319,59,11,2,0,0,0,0
2000,29668,8951,9818,6578,1663,309,73,15,2,0,0,0,0
2010,29653,8944,9821,6628,1646,302,69,13,1,0,0,0,0
2020,29720,8755,9925,6721,1574,300,64,15,3,0,0,0,0
2030,29668,8900,9855,6627,1652,290,71,10,4,0,0,0,0
2040,29698,8888,9803,6660,1644,298,69,13,4,0,0,0,0
2050,29650,8949,9815,6635,1641,310,62,13,2,0,0,0,0
2060,29711,8805,9950,6563,1660,302,72,11,3,0,0,0,0
2070,29671,8860,9936,6595,1624,303,70,15,3,0,0,0,0
2080,29714,8861,9822,6636,1657,308,59,18,2,0,0,0,0
2090,29653,8936,9825,6645,1640,284,85,6,3,0,0,0,0
2100,29741,8801,9818,6712,1616,306,74,6,3,0,0,0,0
2110,29695,8880,9826,6638,1655,302,68,11,2,0,0,0,0
2120,29642,8903,9910,6598,1654,292,64,12,2,0,0,0,0
2130,29640,8921,9902,6552,1712,268,70,8,4,0,0,0,0
2140,29627,8961,9824,6668,1613,304,69,10,1,0,0,0,0
2150,29617,9022,9781,6629,1646,287,81,11,3,0,0,0,0
2160,29620,8987,9798,6679,1610,303,64,11,4,1,0,0,0
2170,29631,8893,9951,6592,1639,293,65,9,4,0,0,0,0
2180,29610,9030,9715,6748,1592,304,63,13,2,0,0,0,0
2190,29732,8795,9891,6595,1696,292,64,9,3,0,0,0,0
2200,29664,8917,9835,6649,1624,298,77,9,4,0,0,0,0
2210,29692,8912,9813,6577,1708,292,70,8,5,0,0,0,0
2220,29763,8853,9749,6574,1780,281,64,10,2,1,0,0,0
2230,29806,8756,9836,6548,1748,305,62,13,2,1,0,0,0
2240,29721,8870,9838,6549,1704,316,66,12,1,0,0,0,0
2250,29721,8840,9810,6664,1669,309,48,13,2,1,0,0,0
2260,29754,8887,9711,6644,1672,333,52,21,3,0,0,0,0
2270,29764,8806,9796,6655,1666,307,68,13,2,0,0,0,0
2280,29694,8875,9876,6562,1682,310,62,14,2,0,0,0,0
2290,29703,8874,9840,6595,1684,304,61,12,4,0,0,0,0
2300,29684,8955,9714,6687,1651,306,65,11,4,0,0,0,0
2310,29666,8926,9776,6702,1638,292,63,9,5,0,0,0,0
2320,29557,9099,9759,6660,1627,295,66,11,3,0,0,0,0
2330,29619,8990,9797,6684,1592,314,66,13,2,0,0,0,0
2340,29677,8882,9843,6657,1633,313,65,5,2,0,0,0,0
2350,29760,8801,9811,6658,1662,301,63,19,2,0,0,0,0
2360,29723,8790,9960,6557,1649,305,79,12,1,1,0,0,0
2370,29755,8842,9785,6606,1696,310,68,15,0,0,0,0,0
2380,29564,8978,9925,6646,1609,268,74,13,0,0,0,0,0
2390,29686,8877,9851,6640,1628,321,60,11,3,0,0,0,0
2400,29732,8820,9839,6631,1683,288,74,10,0,0,0,0,0
2410,29808,8788,9707,6695,1699,308,52,18,2,0,0,0,0
2420,29696,8876,9827,6644,1672,268,73,19,2,0,0,0,0
2430,29640,8963,9865,6551,1657,322,61,17,1,0,0,0,0
2440,29545,9056,9811,6702,1605,283,67,8,0,0,0,0,0
2450,29606,8970,9885,6611,1625,295,67,17,1,0,0,0,0
2460,29668,8872,9897,6595,1691,280,58,14,2,0,0,0,0
2470,29687,8820,9883,6698,1637,277,62,12,1,0,0,0,0
2480,29733,8831,9774,6735,1620,311,58,11,3,1,0,0,0
2490,29674,8868,9871,6650,1651,284,62,15,2,0,0,0,0
2500,29636,9000,9750,6650,1661,309,59,12,0,0,0,0,0
2510,29744,8814,9855,6575,1705,314,54,14,2,0,0,0,0
2520,29711,8842,9837,6653,1658,299,67,7,3,0,0,0,0
2530,29625,8926,9892,6652,1598,308,55,19,2,0,0,0,0
2540,29598,8946,9895,6690,1568,297,67,16,0,0,0,0,0
2550,29705,8833,9872,6632,1657,303,65,9,1,0,0,0,0
