iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
570,1540806708756,27378,-1.011664646e+06,744,2157,4120,5572,53,49,45537,10423,1079,38,0,0,0
580,1540807016748,27300,-1.011303520e+06,755,2130,4033,5626,68,64,45495,10516,1038,28,0,0,0
590,1540807322344,27360,-1.011009261e+06,799,2161,3957,5658,52,65,45479,10527,1048,23,0,0,0
600,1540807628702,27398,-1.010249757e+06,737,2203,3984,5569,38,44,45542,10532,966,37,0,0,0
610,1540807924589,27399,-1.010148802e+06,804,2191,3966,5541,42,50,45542,10497,1017,21,0,0,0
620,1540808218489,27343,-1.011615029e+06,724,2261,4004,5632,42,72,45438,10566,1050,23,0,0,0
630,1540808505256,27243,-1.012829059e+06,751,2317,4265,5521,41,63,45289,10649,1109,29,1,0,0
640,1540808792819,27245,-1.012850776e+06,666,2408,4266,5524,54,65,45310,10589,1141,36,1,0,0
650,1540809082222,27246,-1.012142602e+06,712,2373,4180,5456,55,63,45418,10514,1110,35,0,0,0
660,1540809364413,27222,-1.011989865e+06,703,2294,4202,5477,63,54,45428,10536,1082,31,0,0,0
670,1540809607062,27362,-1.010404261e+06,728,2227,4032,5486,46,67,45588,10422,1037,30,0,0,0
680,1540809850207,27193,-1.013088401e+06,732,2287,4313,5474,61,57,45318,10621,1111,27,0,0,0
690,1540810105442,27123,-1.013587671e+06,791,2260,4397,5478,44,65,45245,10666,1129,37,0,0,0
700,1540810361880,27298,-1.011908473e+06,754,2248,4314,5419,47,58,45378,10592,1074,32,1,0,0
710,1540810613557,27300,-1.011714409e+06,836,2166,4247,5451,48,45,45375,10637,1039,26,0,0,0
720,1540810870962,27357,-1.011167458e+06,757,2202,4246,5378,44,61,45485,10519,1050,23,0,0,0
730,1540811171618,27350,-1.010870629e+06,680,2135,4198,5499,39,76,45527,10507,1009,34,0,0,0
740,1540811475264,27382,-1.010961975e+06,789,2164,4170,5445,48,71,45523,10447,1081,26,0,0,0
750,1540811779282,27369,-1.011833911e+06,738,2233,4127,5525,64,58,45444,10548,1058,27,0,0,0
760,1540812078471,27276,-1.012261145e+06,700,2291,4228,5420,51,64,45452,10530,1061,34,0,0,0
770,1540812345335,27341,-1.010558682e+06,653,2245,4247,5327,57,54,45576,10465,990,46,0,0,0
780,1540812614431,27471,-1.010144745e+06,716,2206,4077,5401,43,62,45626,10423,1002,26,0,0,0
790,1540812872294,27355,-1.011125739e+06,798,2210,4011,5505,47,72,45565,10420,1053,39,0,0,0
800,1540813127840,27310,-1.011583808e+06,709,2290,4128,5484,51,80,45471,10504,1068,34,0,0,0
810,1540813370163,27369,-1.012036533e+06,796,2208,4001,5649,53,64,45430,10559,1052,36,0,0,0
820,1540813615846,27264,-1.011786221e+06,840,2239,4112,5505,59,48,45418,10556,1063,39,1,0,0
830,1540813868706,27342,-1.012483366e+06,785,2360,4103,5504,57,62,45382,10560,1094,41,0,0,0
840,1540814120930,27489,-1.010219283e+06,822,2314,4060,5198,51,71,45638,10392,1017,30,0,0,0
850,1540814374067,27226,-1.012247697e+06,793,2385,4172,5402,46,69,45371,10580,1093,31,2,0,0
860,1540814626807,27362,-1.011520126e+06,733,2442,4007,5411,68,61,45477,10516,1047,36,1,0,0
870,1540814882336,27405,-1.011315470e+06,707,2364,4123,5297,53,69,45559,10459,1024,34,1,0,0
880,1540815138718,27271,-1.012563285e+06,692,2417,4153,5427,70,66,45397,10567,1081,32,0,0,0
890,1540815395605,27402,-1.011049726e+06,783,2390,4177,5295,51,56,45494,10455,1087,41,0,0,0
900,1540815657117,27298,-1.011789385e+06,751,2360,4224,5312,55,65,45467,10489,1085,36,0,0,0
910,1540815955773,27215,-1.011764623e+06,659,2397,4119,5446,60,69,45403,10628,1016,30,0,0,0
920,1540816248499,27364,-1.011178750e+06,798,2311,4036,5426,63,52,45500,10507,1032,37,1,0,0
930,1540816504478,27285,-1.011281372e+06,788,2405,3957,5424,66,62,45448,10584,1017,28,0,0,0
940,1540816764149,27281,-1.011103913e+06,813,2297,4092,5407,49,55,45450,10577,1014,36,0,0,0
950,1540817058280,27386,-1.010606400e+06,703,2332,4062,5380,55,65,45526,10536,985,29,1,0,0
960,1540817356045,27240,-1.012024999e+06,658,2386,4184,5468,56,53,45389,10602,1055,31,0,0,0
970,1540817668060,27329,-1.011009569e+06,652,2415,4148,5343,48,63,45521,10475,1049,32,0,0,0
980,1540817983239,27320,-1.011546829e+06,726,2295,4256,5365,49,52,45477,10486,1085,29,0,0,0
990,1540818296100,27360,-1.010812403e+06,718,2350,4161,5348,43,62,45515,10481,1042,39,0,0,0
1000,1540818608911,27309,-1.012035358e+06,736,2394,4337,5291,49,48,45418,10501,1120,38,0,0,0
1010,1540818903022,27219,-1.013041522e+06,774,2465,4313,5383,44,48,45263,10642,1132,39,1,0,0
1020,1540819199388,27205,-1.012712396e+06,728,2393,4299,5449,67,59,45271,10660,1103,43,0,0,0
1030,1540819500530,27272,-1.012478100e+06,787,2382,4247,5363,63,63,45373,10536,1135,33,0,0,0
1040,1540819806283,27232,-1.011762275e+06,817,2367,4313,5193,55,59,45384,10618,1039,36,0,0,0
1050,1540820138553,27258,-1.012433380e+06,722,2347,4261,5436,57,61,45300,10702,1043,32,0,0,0
1060,1540820468021,27335,-1.012994857e+06,777,2492,4127,5480,45,69,45248,10695,1107,27,0,0,0
1070,1540820798174,27187,-1.012906748e+06,753,2255,4277,5632,59,51,45182,10789,1080,26,0,0,0
1080,1540821127409,27169,-1.013121425e+06,669,2383,4162,5666,41,85,45204,10770,1073,30,0,0,0
1090,1540821457712,27217,-1.012029063e+06,702,2317,4123,5581,55,61,45350,10654,1034,39,0,0,0
