iteration,0,1,2,3,4,5,6,7,8,9,10
1090,29860,8680,9794,6658,1692,311,64,16,2,0,0
1100,29792,8716,9892,6619,1675,298,68,14,3,0,0
1110,29748,8825,9758,6744,1613,306,62,18,3,0,0
1120,29780,8801,9775,6672,1648,309,75,14,2,1,0
1130,29693,8883,9855,6604,1639,324,63,10,6,0,0
1140,29777,8773,9837,6608,1701,306,57,14,4,0,0
1150,29715,8863,9825,6624,1657,309,74,5,5,0,0
1160,29723,8901,9688,6744,1636,305,66,10,3,1,0
1170,29741,8898,9731,6610,1706,305,69,13,3,1,0
1180,29718,8852,9876,6571,1657,311,73,14,4,1,0
1190,29763,8737,9907,6635,1664,283,72,10,6,0,0
1200,29822,8767,9757,6595,1773,278,70,11,4,0,0
1210,29763,8894,9631,6719,1697,282,76,10,5,0,0
1220,29649,8972,9815,6593,1657,298,78,11,3,1,0
1230,29685,8874,9869,6617,1642,310,66,12,2,0,0
1240,29723,8945,9661,6675,1681,309,68,12,3,0,0
1250,29855,8748,9692,6680,1705,314,71,7,5,0,0
1260,29804,8828,9643,6729,1688,306,62,14,3,0,0
1270,29784,8775,9837,6591,1702,304,65,15,4,0,0
1280,29822,8844,9631,6662,1714,315,74,12,1,2,0
1290,29754,8845,9802,6607,1654,317,85,9,3,1,0
1300,29767,8865,9729,6651,1636,336,78,11,4,0,0
1310,29733,8911,9761,6559,1700,332,65,11,5,0,0
1320,29780,8821,9763,6630,1684,308,76,12,3,0,0
1330,29698,8967,9708,6644,1646,328,68,15,2,1,0
1340,29796,8843,9669,6667,1704,320,69,7,2,0,0
1350,29788,8821,9742,6617,1728,297,68,13,2,1,0
1360,29817,8816,9613,6783,1657,304,72,14,1,0,0
1370,29724,8861,9764,6692,1667,289,63,15,2,0,0
1380,29794,8817,9644,6766,1695,290,56,13,1,1,0
1390,29839,8719,9800,6604,1728,305,68,11,3,0,0
1400,29809,8704,9879,6598,1711,294,67,15,0,0,0
1410,29762,8928,9608,6678,1714,304,63,15,5,0,0
1420,29726,8836,9851,6635,1613,328,75,12,1,0,0
1430,29639,8984,9759,6670,1664,276,69,13,3,0,0
1440,29670,8884,9866,6648,1618,323,53,11,1,3,0
1450,29703,8897,9744,6737,1590,333,59,11,2,1,0
1460,29855,8694,9804,6612,1720,309,69,12,2,0,0
1470,29879,8727,9670,6705,1686,324,74,9,3,0,0
1480,29803,8779,9790,6609,1697,313,70,11,4,1,0
1490,29799,8785,9739,6673,1701,305,62,10,3,0,0
1500,29647,9009,9710,6680,1643,310,64,10,4,0,0
1510,29731,8935,9705,6600,1705,320,58,20,3,0,0
1520,29783,8881,9660,6614,1763,294,67,12,1,2,0
1530,29758,8871,9702,6642,1743,284,57,18,2,0,0
1540,29767,8849,9713,6663,1719,276,75,13,2,0,0
1550,29746,8901,9704,6637,1681,325,75,6,2,0,0
1560,29827,8734,9751,6697,1684,308,59,16,1,0,0
1570,29882,8681,9764,6660,1673,327,73,13,4,0,0
1580,29841,8654,9919,6564,1710,300,75,9,5,0,0
1590,29803,8779,9734,6698,1682,299,63,18,0,1,0
1600,29859,8721,9726,6673,1704,314,63,15,2,0,0
1610,29788,8840,9661,6719,1682,305,72,8,1,1,0
1620,29767,8793,9828,6611,1706,280,76,13,3,0,0
1630,29767,8811,9787,6628,1696,315,63,9,1,0,0
1640,29844,8775,9635,6757,1668,319,61,16,2,0,0
1650,29837,8746,9759,6625,1719,301,74,15,1,0,0
1660,29706,8813,9953,6573,1634,301,84,10,3,0,0
1670,29860,8748,9728,6628,1689,333,73,15,2,1,0
1680,29767,8846,9705,6708,1656,315,65,12,3,0,0
1690,29824,8831,9623,6683,1731,302,66,15,2,0,0
1700,29818,8781,9730,6650,1702,318,61,14,3,0,0
1710,29786,8790,9829,6572,1698,318,62,17,5,0,0
1720,29834,8839,9623,6624,1771,304,63,15,3,1,0
1730,29753,8893,9735,6584,1699,333,60,19,1,0,0
1740,29696,8950,9755,6581,1701,316,61,13,3,1,0
1750,29811,8802,9716,6625,1742,306,57,16,2,0,0
1760,29769,8803,9815,6609,1678,326,67,8,1,1,0
1770,29791,8772,9859,6519,1742,318,65,7,3,1,0
1780,29762,8837,9783,6607,1687,316,72,11,2,0,0
1790,29823,8742,9764,6661,1708,300,65,12,0,2,0
1800,29694,8904,9836,6551,1711,296,73,10,2,0,0
1810,29765,8800,9805,6657,1646,325,69,8,1,1,0
1820,29782,8753,9789,6721,1669,290,56,15,2,0,0
1830,29793,8790,9731,6709,1672,294,78,8,2,0,0
1840,29829,8692,9832,6643,1710,286,73,12,0,0,0
1850,29772,8818,9760,6681,1648,307,70,20,0,1,0
1860,29856,8703,9775,6621,1744,297,69,10,2,0,0
1870,29816,8719,9807,6735,1573,333,77,16,1,0,0
1880,29799,8748,9826,6650,1643,329,67,12,3,0,0
1890,29727,8831,9875,6600,1630,327,72,11,4,0,0
1900,29700,8844,9882,6620,1657,287,67,16,4,0,0
1910,29773,8785,9875,6555,1681,316,76,12,3,1,0
1920,29898,8625,9814,6669,1637,356,64,9,3,2,0
1930,29797,8763,9838,6569,1724,304,63,16,2,1,0
1940,29714,8868,9792,6674,1649,300,58,17,5,0,0
1950,29701,8931,9741,6664,1645,311,56,23,5,0,0
1960,29729,8854,9809,6628,1666,310,65,12,3,1,0
1970,29657,8909,9859,6626,1655,295,62,9,4,0,1
1980,29758,8823,9796,6638,1675,293,77,16,0,1,0
1990,29685,8878,9856,6616,1666,297,64,14,1,0,0
2000,29773,8794,9802,6665,1639,318,64,22,0,0,0
2010,29748,8775,9879,6631,1668,298,59,17,2,0,0
2020,29731,8823,9902,6530,1690,323,64,11,3,0,0
2030,29801,8790,9793,6580,1705,319,77,12,0,0,0
2040,29800,8812,9758,6596,1708,309,76,16,2,0,0
2050,29775,8781,9846,6588,1698,302,74,11,1,1,0
2060,29786,8804,9770,6645,1671,313,70,15,3,0,0
2070,29635,9022,9723,6633,1705,279,67,12,0,1,0
2080,29733,8856,9798,6618,1680,317,63,8,4,0,0
2090,29848,8734,9787,6571,1733,317,72,13,2,0,0
2100,29786,8786,9779,6642,1711,294,63,13,3,0,0
2110,29808,8838,9728,6549,1740,328,68,16,2,0,0
2120,29785,8774,9857,6563,1702,309,64,21,2,0,0
2130,29825,8777,9640,6787,1682,285,66,10,5,0,0
2140,29804,8772,9766,6630,1737,292,59,15,2,0,0
2150,29831,8719,9800,6640,1710,290,67,14,6,0,0
2160,29792,8742,9848,6634,1676,299,69,14,1,2,0
2170,29723,8824,9865,6629,1637,321,66,9,3,0,0
2180,29697,8922,9754,6704,1583,320,81,12,3,1,0
2190,29720,8862,9815,6624,1676,297,64,14,3,2,0
2200,29722,8885,9755,6658,1676,308,53,15,4,1,0
2210,29779,8820,9781,6595,1697,330,58,12,5,0,0
2220,29827,8721,9822,6616,1681,336,61,10,3,0,0
2230,29748,8853,9773,6647,1649,323,66,16,0,2,0
2240,29771,8802,9813,6608,1694,307,68,9,2,3,0
2250,29714,8931,9701,6672,1669,310,63,12,5,0,0
2260,29767,8786,9880,6555,1675,339,57,15,3,0,0
2270,29873,8733,9728,6590,1755,315,63,17,1,2,0
2280,29915,8674,9681,6681,1734,316,54,18,4,0,0
2290,29930,8616,9770,6611,1749,327,62,11,1,0,0
2300,29806,8826,9670,6677,1701,318,68,10,1,0,0
2310,29786,8793,9788,6629,1672,336,63,5,5,0,0
2320,29764,8818,9757,6692,1658,301,79,6,2,0,0
2330,29599,9055,9786,6593,1648,316,62,17,1,0,0
