iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
520,1545870054155,17824,-5.752438487e+05,7532,487,128,295,71,150,266,103,30990,8480,267,6,0,0,0,0,0
530,1545870056774,17933,-5.743693649e+05,7430,456,127,301,54,120,252,62,31180,8328,231,4,0,0,0,0,0
540,1545870059213,17877,-5.746289851e+05,7527,439,158,258,49,139,233,96,31066,8462,208,7,0,0,0,0,0
550,1545870061929,17837,-5.745711196e+05,7475,416,142,260,46,173,261,83,31145,8346,246,6,0,0,0,0,0
560,1545870064415,17836,-5.749953698e+05,7479,427,131,317,59,169,273,66,31047,8472,223,1,0,0,0,0,0
570,1545870066942,17830,-5.760521947e+05,7750,455,141,327,50,110,251,99,30832,8645,260,6,0,0,0,0,0
580,1545870069438,17880,-5.759820306e+05,7758,512,122,264,60,124,266,89,30805,8686,247,5,0,0,0,0,0
590,1545870071917,17833,-5.747759775e+05,7703,443,127,269,43,114,299,65,30937,8556,244,5,1,0,0,0,0
600,1545870074520,17779,-5.757392385e+05,7763,454,139,288,58,121,302,80,30821,8645,271,6,0,0,0,0,0
610,1545870076806,17849,-5.744490089e+05,7489,478,134,267,56,123,268,70,31106,8393,240,4,0,0,0,0,0
620,1545870079185,17858,-5.741487126e+05,7312,474,116,273,49,134,314,97,31219,8280,243,1,0,0,0,0,0
630,1545870081528,17900,-5.749435135e+05,7466,415,141,289,65,144,319,75,31089,8400,248,6,0,0,0,0,0
640,1545870083946,17856,-5.743778366e+05,7495,416,130,287,51,125,260,70,31122,8409,211,1,0,0,0,0,0
650,1545870086414,17783,-5.747722243e+05,7470,445,146,304,41,134,271,74,31123,8357,261,2,0,0,0,0,0
660,1545870088988,17911,-5.743378638e+05,7536,439,160,261,43,113,243,83,31125,8359,258,1,0,0,0,0,0
670,1545870091470,17874,-5.752275382e+05,7624,423,162,335,49,124,264,53,30984,8489,265,5,0,0,0,0,0
680,1545870093942,17750,-5.753986420e+05,7735,428,145,264,59,124,276,70,30896,8597,246,4,0,0,0,0,0
690,1545870096401,17828,-5.754718714e+05,7617,423,151,261,65,154,284,74,30977,8506,257,3,0,0,0,0,0
700,1545870098986,17882,-5.744710360e+05,7519,429,129,260,58,156,235,67,31110,8417,212,4,0,0,0,0,0
710,1545870101189,17839,-5.750211534e+05,7647,479,124,263,44,129,270,62,30984,8503,253,3,0,0,0,0,0
720,1545870103564,17842,-5.759347734e+05,7561,467,162,298,55,141,309,109,30926,8535,279,3,0,0,0,0,0
730,1545870106071,17928,-5.747370127e+05,7454,490,155,306,59,144,228,73,31098,8382,262,1,0,0,0,0,0
740,1545870108397,17759,-5.752852625e+05,7591,447,181,268,58,114,226,86,31027,8464,249,3,0,0,0,0,0
750,1545870110881,17862,-5.751161524e+05,7553,454,200,258,44,151,278,72,31001,8478,261,2,1,0,0,0,0
760,1545870113353,17674,-5.759419789e+05,7706,464,198,258,50,133,247,77,30856,8644,240,3,0,0,0,0,0
770,1545870115769,17821,-5.760932264e+05,7604,482,173,273,54,162,253,91,30910,8581,245,7,0,0,0,0,0
780,1545870118366,17802,-5.752965460e+05,7644,456,182,249,66,149,225,64,30942,8571,226,4,0,0,0,0,0
790,1545870120550,17740,-5.760497861e+05,7723,519,163,265,54,135,236,74,30842,8635,264,2,0,0,0,0,0
800,1545870123095,17823,-5.752980793e+05,7633,485,176,235,51,117,285,71,30972,8492,276,3,0,0,0,0,0
810,1545870125348,17810,-5.752654668e+05,7524,552,154,229,62,158,266,84,30990,8481,268,4,0,0,0,0,0
820,1545870127645,17881,-5.748209153e+05,7438,491,156,296,49,147,267,82,31062,8440,237,4,0,0,0,0,0
830,1545870130109,17815,-5.762703927e+05,7734,517,153,269,86,135,257,67,30819,8634,286,4,0,0,0,0,0
840,1545870132423,17793,-5.762966676e+05,7814,526,149,273,51,140,243,96,30735,8730,272,6,0,0,0,0,0
850,1545870134719,17829,-5.760140291e+05,7850,474,152,270,46,119,311,75,30756,8682,300,5,0,0,0,0,0
860,1545870137036,17860,-5.751843073e+05,7688,455,142,268,41,125,273,67,30952,8526,262,3,0,0,0,0,0
870,1545870139488,17840,-5.756908909e+05,7669,459,128,321,64,126,283,101,30879,8585,271,8,0,0,0,0,0
880,1545870141822,17899,-5.747130528e+05,7497,438,133,303,51,96,357,66,31085,8378,277,3,0,0,0,0,0
890,1545870144182,17835,-5.749410658e+05,7506,489,140,257,50,131,305,82,31055,8416,272,0,0,0,0,0,0
900,1545870146812,17887,-5.751505033e+05,7461,477,147,302,57,146,339,83,31032,8416,289,6,0,0,0,0,0
910,1545870149135,17856,-5.767301132e+05,7613,544,168,264,55,139,365,93,30817,8616,305,5,0,0,0,0,0
920,1545870151563,17884,-5.756910548e+05,7583,519,142,273,59,175,300,70,30923,8525,289,6,0,0,0,0,0
930,1545870154019,17823,-5.760536735e+05,7696,484,152,264,61,113,321,101,30825,8649,264,5,0,0,0,0,0
940,1545870156555,17837,-5.763586129e+05,7663,559,124,295,54,125,371,90,30774,8660,306,3,0,0,0,0,0
950,1545870158881,17835,-5.760497369e+05,7515,577,164,262,40,129,373,75,30899,8557,283,4,0,0,0,0,0
960,1545870161306,17807,-5.761702879e+05,7595,540,128,361,54,161,366,61,30764,8695,281,3,0,0,0,0,0
970,1545870163613,17832,-5.755024825e+05,7574,552,132,303,48,97,322,82,30926,8529,283,5,0,0,0,0,0
980,1545870166096,17878,-5.751571622e+05,7541,541,140,307,54,117,273,70,30984,8479,276,4,0,0,0,0,0
990,1545870168424,17820,-5.752341863e+05,7487,472,159,272,47,133,327,65,31043,8447,244,9,0,0,0,0,0
1000,1545870170962,17785,-5.755570341e+05,7472,565,153,288,61,155,262,101,30950,8531,260,2,0,0,0,0,0
1010,1545870173269,17882,-5.751980049e+05,7442,558,157,310,61,106,313,88,30987,8479,275,2,0,0,0,0,0
1020,1545870175783,17868,-5.744952284e+05,7358,509,139,299,46,148,283,99,31134,8338,270,1,0,0,0,0,0
1030,1545870178126,17834,-5.751993487e+05,7359,534,139,266,52,182,343,96,31060,8399,281,2,1,0,0,0,0
1040,1545870180510,17869,-5.752089561e+05,7490,545,140,260,62,140,331,70,30982,8485,275,1,0,0,0,0,0
1050,1545870182751,17793,-5.765716076e+05,7663,564,135,271,58,151,323,69,30813,8630,296,4,0,0,0,0,0
1060,1545870185039,17911,-5.750516126e+05,7462,547,138,236,54,113,330,62,31057,8432,252,2,0,0,0,0,0
1070,1545870187249,17881,-5.747132027e+05,7354,559,152,252,44,116,312,63,31143,8352,244,4,0,0,0,0,0
1080,1545870189617,17813,-5.752868317e+05,7560,610,111,261,50,131,269,80,30959,8498,284,2,0,0,0,0,0
1090,1545870191999,17829,-5.762276306e+05,7541,603,128,288,65,133,330,81,30839,8642,259,3,0,0,0,0,0
1100,1545870194499,17887,-5.752373702e+05,7523,578,132,235,49,115,328,74,30994,8465,283,1,0,0,0,0,0
1110,1545870196807,17826,-5.748218621e+05,7559,524,118,236,46,118,311,56,31019,8488,228,8,0,0,0,0,0
1120,1545870199136,17859,-5.752546798e+05,7476,564,164,260,41,143,290,76,31007,8463,268,5,0,0,0,0,0
1130,1545870201571,17871,-5.743879432e+05,7358,545,168,275,58,125,286,69,31133,8339,268,3,0,0,0,0,0
1140,1545870203894,17838,-5.757141241e+05,7577,622,133,272,52,113,312,77,30892,8546,303,2,0,0,0,0,0
1150,1545870206100,17798,-5.760219594e+05,7582,632,134,247,50,135,287,89,30857,8619,264,3,0,0,0,0,0
1160,1545870208458,17750,-5.760653337e+05,7528,646,148,274,66,110,283,89,30890,8568,279,6,0,0,0,0,0
1170,1545870210901,17830,-5.759184548e+05,7530,657,143,228,57,151,313,92,30872,8574,294,3,0,0,0,0,0
1180,1545870213333,17835,-5.750587307e+05,7566,605,142,221,43,110,316,71,30937,8542,260,4,0,0,0,0,0
1190,1545870215741,17779,-5.758576018e+05,7628,690,140,233,57,107,272,80,30827,8628,285,3,0,0,0,0,0
1200,1545870218226,17840,-5.769679196e+05,7657,731,140,247,71,108,335,79,30705,8709,328,1,0,0,0,0,0
1210,1545870220586,17894,-5.761874248e+05,7615,664,152,268,75,113,320,77,30778,8651,309,5,0,0,0,0,0
1220,1545870222926,17762,-5.756549028e+05,7477,638,157,231,45,120,339,87,30953,8491,294,5,0,0,0,0,0
1230,1545870225191,17873,-5.762276215e+05,7494,665,159,249,70,118,329,88,30869,8579,292,3,0,0,0,0,0
1240,1545870227561,17802,-5.758514857e+05,7631,609,164,263,35,129,294,75,30847,8594,300,2,0,0,0,0,0
1250,1545870229932,17873,-5.750682873e+05,7493,616,173,241,51,136,264,89,30955,8517,267,4,0,0,0,0,0
1260,1545870232268,17951,-5.751015809e+05,7434,630,178,258,44,141,271,71,31030,8404,304,5,0,0,0,0,0
1270,1545870234634,17871,-5.750695669e+05,7387,634,158,308,76,130,275,69,31006,8443,288,6,0,0,0,0,0
1280,1545870236921,17744,-5.768685473e+05,7696,667,168,267,33,121,274,98,30712,8742,285,4,0,0,0,0,0
1290,1545870239126,17793,-5.754393352e+05,7557,630,134,281,47,108,296,52,30907,8575,253,8,0,0,0,0,0
1300,1545870241573,17774,-5.756618479e+05,7534,596,182,286,55,84,256,93,30922,8557,263,1,0,0,0,0,0
1310,1545870243957,17906,-5.762381104e+05,7498,648,169,277,60,144,340,70,30863,8557,320,3,0,0,0,0,0
1320,1545870246362,17939,-5.752861477e+05,7502,641,143,271,66,116,253,78,30946,8530,261,6,0,0,0,0,0
1330,1545870248616,17866,-5.759159652e+05,7411,647,155,250,80,116,334,66,30999,8432,309,3,0,0,0,0,0
1340,1545870250936,17752,-5.763529073e+05,7599,645,184,314,56,104,290,95,30780,8639,324,0,0,0,0,0,0
1350,1545870253162,17677,-5.780152247e+05,7733,703,172,299,67,118,302,104,30586,8820,333,4,0,0,0,0,0
1360,1545870255464,17792,-5.779302905e+05,7739,739,183,277,68,114,326,86,30536,8883,323,1,0,0,0,0,0
1370,1545870257746,17724,-5.766236769e+05,7674,672,159,263,43,110,269,97,30762,8681,294,6,0,0,0,0,0
1380,1545870260072,17822,-5.768185002e+05,7711,690,140,255,69,115,299,84,30705,8720,311,7,0,0,0,0,0
1390,1545870262306,17819,-5.759943586e+05,7675,613,127,288,50,99,267,78,30800,8691,250,2,0,0,0,0,0
1400,1545870264909,17814,-5.774034705e+05,7734,711,143,326,56,106,303,80,30601,8829,309,4,0,0,0,0,0
1410,1545870267294,17756,-5.779087360e+05,7871,673,154,294,42,150,309,70,30522,8883,334,4,0,0,0,0,0
1420,1545870269660,17758,-5.778310155e+05,7796,664,147,249,51,129,360,82,30606,8804,325,8,0,0,0,0,0
1430,1545870271891,17825,-5.772459749e+05,7910,603,146,257,55,121,283,83,30618,8798,321,6,0,0,0,0,0
1440,1545870274268,17827,-5.772775471e+05,7863,615,148,304,63,118,274,80,30581,8861,299,2,0,0,0,0,0
1450,1545870276582,17819,-5.772470660e+05,7778,629,151,314,49,124,292,75,30647,8783,310,3,0,0,0,0,0
1460,1545870278924,17812,-5.759905305e+05,7685,648,168,264,49,106,276,84,30750,8708,283,2,0,0,0,0,0
1470,1545870281352,17768,-5.772878811e+05,7775,601,173,272,54,113,290,110,30679,8744,316,4,0,0,0,0,0
1480,1545870283712,17790,-5.764516232e+05,7606,644,168,295,41,122,334,80,30748,8705,285,5,0,0,0,0,0
1490,1545870286038,17739,-5.767235256e+05,7615,615,151,284,61,142,297,88,30777,8680,285,1,0,0,0,0,0
1500,1545870288554,17851,-5.766242359e+05,7710,605,176,270,56,130,280,93,30761,8647,332,3,0,0,0,0,0
1510,1545870290863,17711,-5.780358552e+05,7839,661,160,302,63,146,345,74,30500,8902,335,6,0,0,0,0,0
1520,1545870293228,17715,-5.777599922e+05,7874,576,133,317,78,132,338,88,30554,8849,333,7,0,0,0,0,0
1530,1545870295572,17834,-5.769119710e+05,7663,637,140,319,67,114,303,98,30730,8691,316,6,0,0,0,0,0
1540,1545870297956,17800,-5.766768514e+05,7597,677,158,294,49,128,305,66,30779,8658,302,4,0,0,0,0,0
1550,1545870300320,17808,-5.768088119e+05,7713,638,143,292,49,119,296,78,30723,8718,296,6,0,0,0,0,0
1560,1545870302754,17763,-5.762692839e+05,7641,669,134,337,50,104,239,95,30787,8647,305,4,0,0,0,0,0
1570,1545870305230,17832,-5.756074847e+05,7393,696,143,290,52,159,266,82,30967,8478,291,7,0,0,0,0,0
1580,1545870307715,17833,-5.761863791e+05,7497,709,150,267,47,181,311,57,30849,8575,313,6,0,0,0,0,0
1590,1545870309911,17837,-5.769028170e+05,7639,668,166,283,46,121,305,84,30734,8710,295,4,0,0,0,0,0
1600,1545870312577,17862,-5.766343408e+05,7651,743,120,297,48,144,278,68,30682,8775,284,2,0,0,0,0,0
1610,1545870315134,17811,-5.773903019e+05,7699,698,153,258,71,152,291,104,30627,8809,304,3,0,0,0,0,0
1620,1545870317493,17771,-5.775944831e+05,7723,750,141,309,55,116,313,75,30577,8854,308,4,0,0,0,0,0
1630,1545870319836,17899,-5.767562664e+05,7741,645,100,288,74,162,300,59,30678,8764,298,3,0,0,0,0,0
1640,1545870322294,17825,-5.763447635e+05,7576,738,112,304,61,138,306,88,30750,8666,324,3,0,0,0,0,0
1650,1545870324471,17831,-5.767745386e+05,7474,650,169,359,64,125,315,73,30842,8579,316,6,0,0,0,0,0
1660,1545870326845,17791,-5.777714919e+05,7753,695,135,315,60,120,320,107,30571,8849,313,10,0,0,0,0,0
1670,1545870329019,17903,-5.767230874e+05,7519,717,129,306,59,142,321,114,30753,8675,313,2,0,0,0,0,0
1680,1545870331515,17834,-5.759383669e+05,7526,692,121,301,59,134,242,74,30881,8579,279,4,0,0,0,0,0
1690,1545870333886,17841,-5.753072445e+05,7528,669,98,259,41,137,298,80,30938,8503,299,3,0,0,0,0,0
1700,1545870336335,17745,-5.767314317e+05,7744,672,102,284,69,145,311,97,30614,8838,287,4,0,0,0,0,0
1710,1545870338941,17820,-5.755223854e+05,7468,632,108,325,58,130,281,63,30953,8520,265,5,0,0,0,0,0
1720,1545870341439,17878,-5.759928513e+05,7533,647,129,288,81,158,273,81,30875,8551,312,5,0,0,0,0,0
1730,1545870343813,17816,-5.758943667e+05,7570,664,130,322,54,118,280,89,30821,8624,291,7,0,0,0,0,0
1740,1545870346074,17820,-5.755095011e+05,7342,653,113,321,65,120,294,94,31038,8414,286,4,1,0,0,0,0
1750,1545870348428,17802,-5.772504693e+05,7513,704,150,316,67,131,349,101,30771,8617,351,4,0,0,0,0,0
1760,1545870350713,17779,-5.765082393e+05,7531,581,132,304,66,157,364,108,30827,8595,315,6,0,0,0,0,0
1770,1545870352965,17910,-5.766344921e+05,7520,590,157,375,47,144,378,78,30783,8634,323,3,0,0,0,0,0
1780,1545870355272,17874,-5.757205235e+05,7423,572,151,348,63,105,342,80,30942,8520,279,2,0,0,0,0,0
1790,1545870357669,17879,-5.758020902e+05,7498,608,134,344,51,126,296,94,30895,8549,295,4,0,0,0,0,0
1800,1545870360163,17784,-5.768406976e+05,7666,638,132,305,71,136,317,98,30715,8697,327,4,0,0,0,0,0
1810,1545870362492,17781,-5.769293366e+05,7827,596,139,273,43,113,296,90,30641,8829,271,2,0,0,0,0,0
1820,1545870364809,17765,-5.768673394e+05,7799,594,116,303,61,141,292,97,30660,8769,308,6,0,0,0,0,0
