iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
670,21869,6736,5452,2977,1412,690,360,126,77,28,13,2,1,0,0,0,0,0,0,0
680,21993,6672,5368,2889,1489,716,350,160,63,25,15,3,0,0,0,0,0,0,0,0
690,21915,6694,5397,2990,1468,696,328,150,57,32,8,6,1,1,0,0,0,0,0,0
700,21861,6776,5389,2948,1480,706,337,156,50,28,7,3,0,2,0,0,0,0,0,0
710,21904,6725,5416,2938,1472,685,333,157,72,27,11,3,0,0,0,0,0,0,0,0
720,21901,6750,5382,2892,1530,708,331,142,68,28,7,3,0,0,1,0,0,0,0,0
730,21815,6805,5467,2956,1398,717,325,141,72,32,10,2,3,0,0,0,0,0,0,0
740,21984,6687,5353,2921,1476,715,333,165,56,36,8,6,2,1,0,0,0,0,0,0
750,21881,6784,5367,2940,1482,691,338,156,60,25,15,2,1,1,0,0,0,0,0,0
760,22069,6517,5432,2877,1546,714,322,154,70,25,10,4,1,2,0,0,0,0,0,0
770,21922,6752,5334,2930,1539,669,323,154,79,30,8,2,1,0,0,0,0,0,0,0
780,21941,6698,5411,2916,1466,691,343,171,67,30,5,3,1,0,0,0,0,0,0,0
790,22003,6619,5351,2947,1541,719,299,150,71,29,7,6,0,1,0,0,0,0,0,0
800,21920,6721,5410,2925,1473,699,312,164,75,29,10,3,0,2,0,0,0,0,0,0
810,21933,6705,5397,2933,1479,698,338,155,54,29,11,9,2,0,0,0,0,0,0,0
820,21862,6773,5398,2949,1491,704,301,152,66,31,11,4,1,0,0,0,0,0,0,0
830,21928,6716,5358,2961,1469,732,331,146,57,30,11,2,1,0,1,0,0,0,0,0
840,21950,6744,5349,2882,1489,746,317,154,62,26,10,10,3,1,0,0,0,0,0,0
850,21914,6677,5407,2965,1511,712,321,134,56,29,10,5,1,1,0,0,0,0,0,0
860,21883,6788,5347,2943,1488,718,327,145,54,32,8,7,3,0,0,0,0,0,0,0
870,21903,6774,5323,2981,1453,738,316,149,52,30,16,3,5,0,0,0,0,0,0,0
880,21844,6777,5409,2992,1433,702,336,153,60,20,10,2,4,1,0,0,0,0,0,0
890,21908,6759,5360,2868,1530,739,347,141,56,27,4,3,1,0,0,0,0,0,0,0
900,21856,6777,5421,2911,1479,708,355,140,59,23,10,2,2,0,0,0,0,0,0,0
910,21887,6766,5356,2945,1480,716,362,134,63,25,8,1,0,0,0,0,0,0,0,0
920,21859,6718,5444,2974,1487,700,313,152,59,25,7,3,1,1,0,0,0,0,0,0
930,21920,6736,5343,2955,1484,732,306,164,66,26,7,4,0,0,0,0,0,0,0,0
