iteration,0,1,2,3
2190,15158,13270,13222,15427
2200,15114,13148,13331,15484
2210,15049,13306,13334,15388
2220,15120,13169,13279,15509
2230,15214,13186,13225,15452
2240,15082,13223,13309,15463
2250,15269,13201,13281,15326
2260,15177,13187,13313,15400
2270,15086,13390,13151,15450
2280,15173,13163,13226,15515
2290,15195,13127,13284,15471
2300,15165,13192,13257,15463
2310,15181,13262,13227,15407
2320,15052,13169,13341,15515
2330,15222,13291,13038,15526
2340,15166,13280,13161,15470
2350,15228,13156,13226,15467
2360,15100,13301,13328,15348
2370,15127,13165,13318,15467
2380,15200,13153,13097,15627
2390,15225,13222,13102,15528
2400,15118,13267,13208,15484
2410,15062,13371,13219,15425
2420,15136,13403,13223,15315
2430,15087,13219,13246,15525
2440,15167,13077,13347,15486
2450,15352,13266,13132,15327
2460,15079,13228,13427,15343
2470,15217,13355,13012,15493
2480,15210,13241,13137,15489
2490,14950,13138,13401,15588
2500,15295,13131,13245,15406
2510,15058,13308,13289,15422
2520,15260,13190,13280,15347
2530,15323,13188,13182,15384
2540,15089,13300,13209,15479
2550,15119,13143,13271,15544
2560,15270,13246,13132,15429
2570,15127,13168,13330,15452
2580,15349,13188,13143,15397
2590,15124,13114,13225,15614
2600,15130,13253,13251,15443
2610,15248,13394,13095,15340
2620,15236,13073,13364,15404
2630,15099,13211,13258,15509
2640,15186,13240,13204,15447
2650,15059,13436,13238,15344
2660,15140,13140,13343,15454
2670,15141,13289,13337,15310
2680,15208,13373,13148,15348
2690,15155,13328,13177,15417
2700,15270,13177,13277,15353
2710,15168,13222,13259,15428
2720,15226,13178,13257,15416
2730,15095,13427,13274,15281
2740,15161,13138,13280,15498
2750,15212,13219,13177,15469
2760,15311,13157,13328,15281
2770,15202,13172,13247,15456
2780,15189,13249,13187,15452
2790,15183,13236,13209,15449
2800,15137,13220,13225,15495
2810,15149,13134,13303,15491
2820,15260,13282,13321,15214
2830,15247,13142,13268,15420
2840,15220,13045,13475,15337
2850,15127,13270,13175,15505
2860,15173,13121,13407,15376
2870,15190,13282,13176,15429
2880,15225,13194,13236,15422
2890,15004,13264,13264,15545
2900,15057,13239,13292,15489
2910,15167,13183,13262,15465
2920,15247,13236,13216,15378
2930,15040,13258,13368,15411
2940,15165,13166,13298,15448
2950,15095,13387,13152,15443
2960,15144,13248,13317,15368
2970,15109,13219,13315,15434
2980,15171,13224,13231,15451
2990,15117,13193,13293,15474
3000,15124,13169,13344,15440
3010,15270,13250,13276,15281
3020,15052,13298,13194,15533
3030,15176,13177,13249,15475
3040,15074,13294,13241,15468
3050,15037,13204,13327,15509
3060,15242,13167,13095,15573
3070,15090,13208,13306,15473
3080,15298,13090,13214,15475
3090,15291,13316,13071,15399
3100,15086,13228,13350,15413
3110,15253,13204,13191,15429
3120,15239,13207,13225,15406
3130,15232,13228,13204,15413
3140,15094,13214,13364,15405
3150,15333,13189,13117,15438
3160,15265,13263,13181,15368
3170,15305,13219,13214,15339
3180,15247,13278,13142,15410
3190,15193,13197,13147,15540
3200,15195,13302,13222,15358
3210,15194,13350,13184,15349
3220,15036,13205,13349,15487
3230,15219,13325,13128,15405
3240,15333,13188,13130,15426
3250,15345,13105,13260,15367
3260,15119,13288,13291,15379
3270,15323,13125,13154,15475
3280,15146,13209,13340,15382
3290,15201,13362,13244,15270
3300,14997,13284,13264,15532
3310,15145,13236,13313,15383
3320,15144,13344,13180,15409
3330,15255,13313,13115,15394
3340,15246,13054,13399,15378
3350,15277,13136,13179,15485
3360,15114,13254,13158,15551
3370,15251,13161,13287,15378
3380,15330,13265,13115,15367
3390,15358,13128,13193,15398
3400,15123,13179,13283,15492
3410,15185,13105,13313,15474
3420,15166,13046,13299,15566
3430,15236,13100,13391,15350
3440,15107,13163,13293,15514
3450,15205,13252,13386,15234
3460,15108,13266,13265,15438
3470,15169,13333,13102,15473
3480,15262,13178,13309,15328
3490,15263,13165,13217,15432
3500,15281,13279,13089,15428
3510,15075,13263,13307,15432
3520,15173,13161,13244,15499
3530,15218,13168,13255,15436
3540,15101,13219,13362,15395
3550,15232,13172,13274,15399
3560,15102,13273,13069,15633
3570,15241,13193,13237,15406
3580,15137,13200,13262,15478
3590,15090,13278,13183,15526
3600,15214,13191,13246,15426
3610,15323,13238,13065,15451
3620,15188,13328,13198,15363
3630,15362,13195,13207,15313
3640,15131,13157,13274,15515
3650,15238,13314,13160,15365
3660,15103,13107,13258,15609
3670,15058,13206,13314,15499
3680,15200,13326,13121,15430
3690,15172,13265,13277,15363
3700,15163,13106,13178,15630
3710,15230,13114,13247,15486
3720,15102,13097,13288,15590
3730,15070,13256,13342,15409
3740,15249,13228,13260,15340
3750,15077,13109,13333,15558
3760,15233,13243,13226,15375
3770,15077,13262,13171,15567
3780,15198,13220,13202,15457
3790,15070,13211,13366,15430
3800,15190,13227,13310,15350
3810,15264,13100,13262,15451
3820,15225,13137,13321,15394
3830,15201,13181,13215,15480
3840,15176,13148,13192,15561
3850,15145,13344,13176,15412
3860,15188,13225,13159,15505
3870,15148,13284,13193,15452
3880,15329,13243,13175,15330
3890,15090,13223,13215,15549
3900,15298,13121,13229,15429
3910,15086,13239,13340,15412
3920,15059,13144,13179,15695
3930,15166,13178,13297,15436
3940,15284,13309,13204,15280
3950,15121,13176,13222,15558
3960,15129,13292,13205,15451
3970,15320,13206,13256,15295
3980,15221,13196,13162,15498
3990,15252,13162,13225,15438
4000,15196,13314,13154,15413
4010,15170,13198,13299,15410
4020,15137,13202,13289,15449
4030,15144,13293,13139,15501
4040,15300,13169,13147,15461
4050,15250,13219,13142,15466
4060,15232,13207,13175,15463
4070,15130,13265,13145,15537
4080,15255,13339,13138,15345
4090,15159,13169,13206,15543
4100,15091,13235,13281,15470
4110,15141,13172,13282,15482
4120,15181,13137,13189,15570
4130,15277,13108,13294,15398
4140,15339,13178,13177,15383
4150,15190,13125,13225,15537
4160,15185,13191,13254,15447
4170,15219,13170,13259,15429
4180,15195,13281,13211,15390
4190,15214,13181,13167,15515
4200,15222,13244,13165,15446
4210,15237,13300,13245,15295
4220,15163,13307,13185,15422
4230,15146,13203,13265,15463
4240,15143,13213,13318,15403
4250,15257,13129,13219,15472
4260,15234,13176,13245,15422
4270,15116,13261,13238,15462
4280,15156,13220,13197,15504
4290,15117,13200,13254,15506
4300,15073,13264,13173,15567
4310,15275,13124,13356,15322
4320,15144,13153,13336,15444
4330,15131,13292,13258,15396
4340,15253,13022,13274,15528
4350,15205,13329,13191,15352
4360,15100,13116,13421,15440
4370,15144,13061,13446,15426
4380,15166,13238,13271,15402
4390,15297,13215,13155,15410
4400,15179,13252,13254,15392
4410,15190,13310,13255,15322
4420,15075,13225,13371,15406
4430,15165,13232,13295,15385
4440,15172,13213,13212,15480
4450,15175,13173,13247,15482
4460,15189,13181,13333,15374
4470,15288,13041,13397,15351
4480,15086,13334,13062,15595
4490,15316,13147,13118,15496
4500,15298,13256,13213,15310
4510,15255,13075,13282,15465
4520,15225,13318,13205,15329
4530,15199,13055,13399,15424
4540,15096,13313,13139,15529
4550,15136,13162,13322,15457
4560,15249,13278,13177,15373
4570,15096,13285,13284,15412
4580,15021,13113,13322,15621
4590,15129,13241,13342,15365
4600,15222,13231,13211,15413
4610,15153,13227,13337,15360
4620,15279,13041,13325,15432
4630,15255,13230,13139,15453
4640,15212,13226,13312,15327
4650,15146,13286,13213,15432
4660,15126,13205,13202,15544
4670,15307,13181,13191,15398
4680,15114,13191,13255,15517
4690,15182,13283,13235,15377
4700,15251,13178,13180,15468
4710,15246,13224,13237,15370
4720,15262,13094,13114,15607
4730,15148,13154,13182,15593
4740,15168,13281,13264,15364
4750,15304,13254,13272,15247
4760,15289,13234,13083,15471
4770,15051,13361,13259,15406
4780,15256,13256,13227,15338
4790,15087,13374,13292,15324
4800,15034,13301,13232,15510
4810,15225,13196,13222,15434
4820,15202,13248,13303,15324
4830,15100,13270,13358,15349
4840,15194,13114,13200,15569
4850,15082,13284,13210,15501
4860,15182,13137,13366,15392
4870,15187,13233,13218,15439
4880,15176,13215,13251,15435
4890,15171,13243,13310,15353
4900,15211,13119,13327,15420
4910,15162,13256,13218,15441
4920,15149,13281,13334,15313
4930,15181,13326,13239,15331
4940,15065,13268,13271,15473
4950,15099,13343,13281,15354
4960,15417,13216,13128,15316
4970,15128,13377,13257,15315
4980,15343,13170,13136,15428
4990,15335,13121,13254,15367
5000,15327,13171,13292,15287
5010,15182,13171,13260,15464
5020,15071,13219,13317,15470
5030,15246,13153,13271,15407
5040,15133,13195,13371,15378
5050,15297,13179,13142,15459
5060,15050,13201,13323,15503
5070,15169,13127,13274,15507
5080,15305,13218,13150,15404
5090,15211,13261,13188,15417
5100,15027,13328,13335,15387
5110,15146,13288,13223,15420
5120,15252,13244,13152,15429
5130,15063,13289,13295,15430
5140,15054,13406,13171,15446
5150,15296,13221,13163,15397
5160,15135,13206,13251,15485
5170,15186,13127,13294,15470
5180,15375,13167,13190,15345
5190,15171,13102,13389,15415
5200,15080,13209,13248,15540
5210,15281,13183,13182,15431
5220,15069,13169,13360,15479
5230,15126,13274,13129,15548
5240,15204,13172,13232,15469
5250,15252,13180,13192,15453
5260,15306,13108,13175,15488
5270,15386,13223,13024,15444
5280,15133,13240,13262,15442
5290,15090,13199,13330,15458
5300,15128,13266,13230,15453
5310,15289,13153,13204,15431
5320,15040,13328,13262,15447
5330,15196,13161,13275,15445
5340,15210,13280,13203,15384
5350,15064,13283,13228,15502
5360,15219,13335,13225,15298
5370,15060,13247,13304,15466
5380,14998,13413,13263,15403
5390,15320,13097,13275,15385
5400,15136,13385,13119,15437
5410,15236,13238,13203,15400
5420,15249,13164,13272,15392
5430,15112,13217,13305,15443
5440,15210,13274,13144,15449
5450,15248,13080,13313,15436
5460,15217,13359,13147,15354
5470,15106,13252,13162,15557
5480,15018,13374,13232,15453
5490,15295,13346,13070,15366
5500,15137,13277,13162,15501
5510,15229,12969,13363,15516
5520,15149,13287,13200,15441
5530,15112,13273,13266,15426
5540,15140,13354,13203,15380
5550,15248,13228,13202,15399
5560,15219,13270,13149,15439
5570,15065,13314,13337,15361
5580,15169,13179,13278,15451
5590,15219,13212,13119,15527
5600,15176,13213,13204,15484
5610,15330,13150,13129,15468
5620,15046,13262,13288,15481
5630,15277,13127,13173,15500
5640,15267,13275,13116,15419
5650,15134,13205,13173,15565
5660,15284,13208,13231,15354
5670,15120,13134,13326,15497
5680,15337,13255,13131,15354
5690,15211,13266,13165,15435
5700,15127,13129,13312,15509
5710,15100,13265,13386,15326
5720,15173,13130,13203,15571
5730,15217,13288,13214,15358
5740,15251,13231,13282,15313
