iteration,0,1,2,3
2190,15106,13166,13340,15465
2200,15066,13314,13194,15503
2210,15198,13103,13323,15453
2220,15123,13141,13326,15487
2230,15089,13217,13321,15450
2240,15228,13170,13247,15432
2250,15198,13200,13175,15504
2260,15131,13245,13300,15401
2270,15181,13195,13353,15348
2280,15247,13231,13189,15410
2290,15127,13229,13223,15498
2300,15284,13124,13213,15456
2310,15339,13197,13221,15320
2320,15026,13301,13338,15412
2330,15332,13152,13237,15356
2340,15171,13302,13149,15455
2350,15352,13229,13157,15339
2360,15204,13215,13173,15485
2370,15174,13268,13302,15333
2380,15260,13230,13227,15360
2390,15122,13320,13222,15413
2400,15173,13239,13246,15419
2410,15124,13066,13288,15599
2420,15102,13229,13338,15408
2430,15244,13192,13309,15332
2440,15088,13358,13199,15432
2450,15195,13335,13185,15362
2460,15157,13255,13139,15526
2470,15248,13294,13124,15411
2480,15307,13184,13139,15447
2490,15213,13332,13261,15271
2500,15179,13165,13300,15433
2510,15224,13188,13252,15413
2520,15105,13091,13269,15612
2530,15191,13233,13186,15467
2540,15210,13249,13354,15264
2550,15037,13295,13276,15469
2560,15224,13181,13286,15386
2570,15152,13306,13272,15347
2580,15219,13252,13266,15340
2590,15292,13222,13108,15455
2600,15123,13176,13167,15611
2610,15124,13270,13258,15425
2620,15330,13159,13099,15489
2630,15271,13309,13163,15334
2640,15210,13086,13214,15567
2650,15208,13256,13322,15291
2660,15112,13225,13287,15453
2670,15156,13271,13286,15364
2680,15188,13229,13222,15438
2690,15282,13101,13191,15503
2700,15214,13299,13195,15369
2710,15148,13143,13213,15573
2720,15080,13230,13331,15436
2730,15278,13220,13210,15369
2740,15180,13293,13204,15400
2750,15137,13244,13194,15502
2760,15135,13177,13244,15521
2770,15252,13281,13011,15533
2780,15118,13098,13298,15563
2790,15298,13149,13228,15402
2800,15153,13227,13219,15478
2810,15175,13306,13217,15379
2820,15269,13239,13185,15384
2830,15137,13249,13247,15444
2840,15162,13305,13287,15323
2850,15083,13221,13390,15383
2860,15108,13131,13381,15457
2870,15152,13179,13235,15511
2880,15117,13278,13183,15499
2890,15144,13179,13252,15502
2900,14992,13231,13294,15560
2910,15188,13281,13191,15417
2920,15320,13147,13170,15440
2930,15326,13154,13271,15326
2940,15128,13206,13258,15485
2950,15142,13209,13291,15435
2960,15320,13260,13153,15344
2970,15232,13248,13236,15361
2980,15200,13242,13243,15392
2990,15160,13126,13293,15498
3000,15192,13024,13230,15631
3010,15179,13300,13156,15442
3020,15269,13221,13115,15472
3030,15187,13309,13321,15260
3040,15200,13112,13256,15509
3050,15282,13214,13227,15354
3060,15308,13222,13128,15419
3070,15246,13167,13252,15412
3080,15287,13181,13274,15335
3090,15035,13240,13224,15578
3100,15176,13151,13331,15419
3110,15311,13103,13311,15352
3120,15165,13225,13133,15554
3130,15239,13178,13186,15474
3140,15148,13154,13304,15471
3150,15175,13169,13309,15424
3160,15293,13190,13135,15459
3170,15102,13250,13200,15525
3180,15115,13277,13212,15473
3190,15272,13290,13192,15323
3200,15119,13195,13230,15533
3210,15270,13080,13310,15417
3220,15167,13088,13318,15504
3230,15238,13186,13275,15378
3240,14923,13318,13456,15380
3250,15220,13150,13257,15450
3260,15177,13159,13251,15490
3270,15136,13258,13274,15409
3280,15102,13285,13189,15501
3290,15258,13245,13276,15298
3300,15115,13340,13195,15427
3310,15302,13147,13226,15402
3320,15212,13178,13199,15488
3330,15155,13273,13262,15387
3340,15204,13248,13148,15477
3350,15154,13220,13158,15545
3360,15180,13055,13348,15494
3370,15021,13228,13338,15490
3380,15093,13236,13285,15463
3390,15194,13248,13201,15434
3400,15281,13218,13170,15408
3410,15223,12962,13491,15401
3420,15275,13239,13134,15429
3430,15236,13202,13276,15363
3440,15218,13124,13300,15435
