iteration,0,1,2,3,4,5,6
1650,1991,6198,1650,142,19,0,0
1660,2011,6140,1704,128,17,0,0
1670,2009,6153,1681,143,14,0,0
1680,2017,6147,1667,157,12,0,0
1690,2009,6154,1676,150,11,0,0
1700,1983,6199,1662,147,9,0,0
1710,2003,6175,1655,153,14,0,0
1720,1993,6183,1664,151,9,0,0
1730,1980,6209,1649,155,7,0,0
1740,1992,6195,1641,165,7,0,0
1750,1992,6204,1629,162,13,0,0
1760,1978,6227,1623,162,9,1,0
1770,1988,6207,1632,164,8,1,0
1780,2014,6152,1664,161,8,1,0
1790,2013,6176,1624,174,11,2,0
1800,1990,6199,1640,163,8,0,0
1810,1985,6219,1618,167,11,0,0
1820,1988,6201,1642,162,6,1,0
1830,1975,6234,1617,164,10,0,0
1840,1949,6285,1588,173,5,0,0
1850,1973,6239,1607,177,4,0,0
1860,1941,6304,1574,176,5,0,0
1870,1950,6282,1593,168,7,0,0
1880,1976,6228,1622,168,6,0,0
1890,1961,6248,1629,154,8,0,0
1900,1944,6278,1617,156,5,0,0
1910,1961,6249,1624,161,5,0,0
1920,1980,6224,1619,170,7,0,0
1930,1991,6192,1650,160,7,0,0
1940,1970,6223,1650,153,2,2,0
1950,1982,6193,1672,149,4,0,0
1960,1963,6238,1642,150,7,0,0
1970,1964,6239,1636,155,6,0,0
1980,1963,6242,1639,144,12,0,0
1990,1984,6181,1691,139,5,0,0
2000,1965,6228,1655,146,6,0,0
2010,1946,6267,1636,143,8,0,0
2020,1969,6238,1624,162,7,0,0
2030,1975,6226,1634,156,7,2,0
2040,1963,6239,1642,148,7,1,0
2050,1958,6247,1641,145,9,0,0
2060,1966,6229,1650,149,6,0,0
2070,1948,6277,1609,159,7,0,0
2080,1948,6265,1633,147,7,0,0
2090,1992,6178,1675,148,7,0,0
2100,1972,6229,1636,154,8,1,0
2110,1994,6177,1676,141,12,0,0
2120,2021,6137,1675,155,12,0,0
2130,2023,6132,1680,152,13,0,0
2140,2029,6123,1678,159,11,0,0
2150,2026,6129,1675,159,11,0,0
2160,2044,6089,1698,161,8,0,0
2170,2019,6133,1688,151,7,2,0
2180,2021,6136,1676,156,11,0,0
2190,2000,6173,1668,147,10,2,0
2200,1992,6186,1662,150,10,0,0
2210,2005,6181,1641,155,18,0,0
2220,2016,6153,1660,157,14,0,0
2230,1987,6204,1644,152,13,0,0
2240,2015,6167,1641,158,18,1,0
2250,2012,6149,1675,155,9,0,0
2260,2019,6144,1664,164,9,0,0
2270,2021,6138,1672,158,11,0,0
2280,2042,6101,1687,155,15,0,0
2290,2018,6145,1669,155,13,0,0
2300,2024,6139,1663,161,13,0,0
2310,2001,6172,1661,158,8,0,0
2320,2012,6151,1674,151,12,0,0
2330,2008,6159,1667,157,9,0,0
2340,1998,6174,1667,152,9,0,0
2350,1999,6173,1669,147,12,0,0
2360,1999,6186,1637,172,6,0,0
2370,2009,6156,1672,152,11,0,0
2380,1997,6176,1667,151,8,1,0
2390,1985,6207,1642,155,11,0,0
2400,1945,6289,1599,156,10,1,0
2410,1956,6257,1625,155,7,0,0
2420,1978,6214,1644,158,6,0,0
2430,1979,6228,1615,170,8,0,0
2440,1985,6210,1635,160,10,0,0
2450,2011,6159,1660,159,11,0,0
2460,2008,6166,1655,160,11,0,0
2470,2007,6179,1635,165,14,0,0
2480,1998,6202,1614,174,12,0,0
2490,2010,6158,1666,154,12,0,0
2500,2051,6093,1672,173,11,0,0
2510,2015,6151,1662,163,9,0,0
2520,2000,6179,1652,159,10,0,0
2530,2007,6162,1665,156,10,0,0
2540,1993,6179,1672,147,9,0,0
2550,1979,6206,1659,148,8,0,0
2560,1994,6184,1662,148,12,0,0
2570,1988,6202,1641,160,9,0,0
2580,2014,6149,1671,155,11,0,0
2590,2013,6149,1673,155,10,0,0
2600,2008,6160,1664,160,8,0,0
2610,2033,6124,1669,159,14,1,0
2620,2011,6168,1642,170,7,2,0
2630,1965,6247,1620,160,7,1,0
2640,1964,6246,1624,158,8,0,0
2650,1938,6299,1600,151,12,0,0
2660,1923,6326,1589,152,10,0,0
2670,1935,6296,1612,148,9,0,0
2680,1932,6295,1621,145,7,0,0
2690,1944,6273,1628,149,6,0,0
2700,1970,6229,1641,151,9,0,0
2710,1988,6195,1656,151,10,0,0
2720,1980,6209,1652,149,10,0,0
2730,1987,6193,1664,145,11,0,0
2740,2005,6163,1670,151,11,0,0
2750,1990,6201,1639,159,11,0,0
2760,1984,6204,1648,156,8,0,0
2770,2001,6169,1666,157,7,0,0
2780,2029,6119,1684,159,9,0,0
2790,2045,6089,1700,153,13,0,0
2800,2022,6131,1682,155,10,0,0
2810,1983,6207,1645,157,8,0,0
2820,2019,6141,1675,152,12,1,0
2830,2018,6148,1662,161,10,1,0
2840,1995,6190,1647,157,10,1,0
2850,1992,6190,1654,154,10,0,0
2860,1987,6210,1632,159,11,1,0
2870,1969,6261,1583,175,12,0,0
2880,1952,6271,1614,152,10,1,0
2890,1948,6270,1626,146,10,0,0
2900,1963,6246,1631,148,12,0,0
2910,1942,6279,1626,143,10,0,0
2920,1948,6278,1613,148,13,0,0
2930,1968,6238,1632,150,12,0,0
2940,1962,6246,1633,148,11,0,0
2950,2002,6178,1649,160,11,0,0
2960,1988,6206,1640,153,10,3,0
2970,2032,6103,1707,149,9,0,0
2980,2011,6147,1683,149,10,0,0
2990,2009,6156,1671,154,10,0,0
3000,1990,6196,1648,156,10,0,0
3010,1982,6198,1668,142,10,0,0
3020,1976,6202,1676,139,6,1,0
3030,1952,6258,1636,146,8,0,0
3040,1932,6300,1614,144,10,0,0
3050,1961,6240,1650,136,13,0,0
3060,1986,6202,1654,142,16,0,0
3070,1998,6179,1662,147,14,0,0
3080,2001,6173,1664,150,11,1,0
3090,1987,6204,1642,156,11,0,0
3100,1973,6227,1638,151,11,0,0
3110,1953,6259,1634,144,9,1,0
3120,1951,6265,1629,143,12,0,0
3130,1965,6251,1613,161,10,0,0
3140,1946,6262,1650,132,9,0,1
3150,1994,6182,1663,152,9,0,0
3160,1980,6214,1644,150,12,0,0
3170,1967,6233,1646,141,13,0,0
3180,1962,6253,1621,151,13,0,0
3190,1969,6242,1621,156,12,0,0
3200,1966,6235,1639,153,7,0,0
3210,2001,6167,1669,157,6,0,0
3220,2008,6156,1673,155,7,1,0
3230,1990,6187,1665,149,9,0,0
3240,1967,6237,1638,145,13,0,0
3250,1969,6229,1644,150,7,1,0
3260,1968,6240,1634,141,16,1,0
3270,1937,6289,1620,146,7,1,0
3280,1950,6263,1635,142,9,1,0
3290,1947,6268,1632,146,5,2,0
3300,1958,6257,1623,152,9,1,0
3310,1957,6232,1673,130,8,0,0
3320,1987,6200,1648,156,9,0,0
3330,1976,6218,1643,156,7,0,0
3340,1994,6190,1650,154,12,0,0
3350,1959,6272,1587,174,8,0,0
3360,1943,6278,1622,150,7,0,0
3370,1969,6221,1660,141,9,0,0
3380,1967,6213,1678,137,5,0,0
3390,1937,6276,1644,136,7,0,0
3400,1958,6244,1650,136,12,0,0
3410,1959,6236,1661,134,10,0,0
3420,1950,6250,1655,140,5,0,0
3430,1943,6264,1650,136,7,0,0
3440,1947,6263,1638,147,5,0,0
3450,1976,6216,1649,150,9,0,0
3460,1979,6210,1650,154,7,0,0
3470,1960,6257,1615,159,9,0,0
3480,1969,6242,1620,158,11,0,0
3490,1991,6197,1644,158,9,1,0
3500,1971,6228,1637,158,6,0,0
3510,1938,6290,1609,160,3,0,0
3520,1927,6304,1618,144,7,0,0
3530,1960,6241,1646,145,8,0,0
3540,1951,6246,1663,132,8,0,0
3550,1934,6291,1624,143,8,0,0
3560,1952,6255,1640,147,6,0,0
3570,1944,6262,1651,136,7,0,0
3580,1972,6215,1663,142,7,1,0
3590,1955,6261,1624,151,7,2,0
3600,1931,6287,1637,141,4,0,0
3610,1923,6312,1614,144,7,0,0
3620,1948,6261,1643,140,7,1,0
3630,1934,6280,1649,127,9,1,0
3640,1927,6307,1612,147,7,0,0
3650,1955,6256,1634,145,9,1,0
3660,1904,6338,1618,134,6,0,0
3670,1942,6268,1644,140,6,0,0
3680,1959,6246,1637,152,6,0,0
3690,2005,6149,1691,151,4,0,0
3700,2036,6095,1709,153,7,0,0
3710,2033,6126,1661,169,10,1,0
3720,2020,6145,1664,158,12,1,0
3730,2007,6167,1651,169,6,0,0
3740,1999,6152,1704,140,5,0,0
3750,1995,6171,1683,142,8,1,0
3760,1996,6163,1696,136,8,1,0
3770,1994,6175,1680,140,10,1,0
3780,2017,6143,1675,153,12,0,0
3790,2021,6139,1671,157,12,0,0
3800,2001,6170,1669,148,12,0,0
3810,1987,6189,1671,143,10,0,0
3820,1987,6189,1668,149,7,0,0
3830,1981,6198,1672,138,11,0,0
3840,1958,6244,1650,137,10,1,0
3850,1973,6219,1653,145,10,0,0
3860,1982,6192,1678,140,8,0,0
3870,1937,6269,1658,129,7,0,0
3880,1938,6267,1658,131,6,0,0
3890,1970,6223,1651,149,7,0,0
3900,1995,6174,1676,146,9,0,0
3910,1950,6264,1627,154,5,0,0
3920,1943,6277,1621,155,4,0,0
3930,1944,6265,1646,137,8,0,0
3940,1936,6279,1639,141,5,0,0
3950,1959,6255,1617,165,4,0,0
3960,1935,6289,1624,145,7,0,0
3970,1953,6264,1621,154,8,0,0
3980,1955,6249,1647,139,10,0,0
3990,1951,6258,1642,138,11,0,0
4000,1981,6194,1678,138,9,0,0
4010,1983,6207,1648,151,11,0,0
4020,1982,6194,1674,142,8,0,0
4030,1984,6210,1636,162,8,0,0
4040,2006,6164,1662,161,6,1,0
4050,2010,6165,1655,156,13,1,0
4060,1967,6243,1624,155,11,0,0
4070,1988,6209,1630,161,12,0,0
4080,2015,6157,1649,172,6,1,0
4090,1994,6202,1622,174,8,0,0
