iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1545016713312,57077,-9.242578207e+05,0,0,0,0,0,0,57077,0,0,0,0,0,0
10,1545016732667,35574,-9.416058222e+05,320,317,359,679,112,122,55210,1827,38,2,0,0,0
20,1545016751783,33441,-9.593168437e+05,296,680,731,2298,100,138,52938,4035,104,0,0,0,0
30,1545016770061,31214,-9.794750305e+05,383,1044,1124,4573,89,105,50078,6685,309,5,0,0,0
40,1545016789150,29545,-9.919448890e+05,408,1265,1521,6097,68,104,48139,8421,509,8,0,0,0
50,1545016808568,28800,-9.977756291e+05,457,1413,1757,6662,51,98,47277,9170,622,8,0,0,0
60,1545016828085,28270,-1.002304682e+06,481,1597,1946,7044,73,91,46593,9757,706,21,0,0,0
70,1545016846893,28140,-1.003815291e+06,468,1560,2148,7143,56,99,46399,9893,774,11,0,0,0
80,1545016866368,27890,-1.005851592e+06,558,1661,2285,7163,48,89,46172,10027,858,19,1,0,0
90,1545016885323,27873,-1.005500073e+06,475,1666,2434,7059,40,80,46170,10074,819,14,0,0,0
100,1545016904651,27773,-1.006897341e+06,509,1725,2510,7094,49,84,46022,10157,880,18,0,0,0
110,1545016923091,27726,-1.006862638e+06,496,1748,2558,6973,55,70,46070,10135,852,19,1,0,0
120,1545016941701,27700,-1.007794022e+06,536,1911,2693,6883,55,68,45879,10269,910,19,0,0,0
130,1545016959587,27691,-1.006631530e+06,532,1880,2749,6721,57,51,45944,10293,823,17,0,0,0
140,1545016977991,27598,-1.008547155e+06,563,1912,2899,6744,45,54,45841,10284,923,29,0,0,0
150,1545016995483,27562,-1.009054116e+06,605,1911,3009,6685,59,64,45738,10376,932,31,0,0,0
160,1545017013981,27598,-1.009388229e+06,634,1905,3154,6557,52,56,45782,10251,1025,19,0,0,0
170,1545017031616,27520,-1.009067959e+06,555,1916,3106,6557,65,58,45796,10337,912,32,0,0,0
180,1545017050356,27584,-1.009397385e+06,612,1961,3217,6446,63,66,45683,10454,909,31,0,0,0
190,1545017068812,27575,-1.009348969e+06,624,1927,3263,6403,63,56,45694,10448,917,18,0,0,0
200,1545017088307,27526,-1.009665923e+06,529,2065,3391,6240,65,59,45769,10288,999,21,0,0,0
210,1545017107350,27469,-1.009672209e+06,582,2106,3344,6250,56,60,45692,10399,959,27,0,0,0
220,1545017126551,27534,-1.009541373e+06,618,2112,3447,6095,56,58,45702,10389,961,25,0,0,0
230,1545017144119,27444,-1.009350654e+06,591,2031,3504,6160,56,65,45688,10396,968,25,0,0,0
240,1545017162717,27360,-1.010107669e+06,642,2097,3513,6107,61,61,45610,10482,956,29,0,0,0
250,1545017180612,27535,-1.009133786e+06,564,2100,3464,6069,41,66,45760,10349,949,19,0,0,0
260,1545017199388,27507,-1.009771697e+06,581,2160,3490,6088,53,58,45652,10443,959,23,0,0,0
270,1545017218877,27409,-1.010382000e+06,584,2121,3564,6156,42,48,45657,10359,1027,34,0,0,0
280,1545017237190,27365,-1.010765149e+06,608,1996,3732,6107,51,62,45515,10587,956,19,0,0,0
290,1545017256024,27421,-1.010679753e+06,600,2065,3740,6000,53,51,45588,10499,960,30,0,0,0
300,1545017274706,27432,-1.009857219e+06,604,2040,3801,5941,47,52,45603,10499,939,36,0,0,0
310,1545017294640,27497,-1.010330714e+06,574,2088,3827,5900,40,57,45674,10355,1013,35,0,0,0
320,1545017313265,27407,-1.011152665e+06,634,2201,3906,5870,55,60,45497,10470,1074,36,0,0,0
330,1545017331087,27478,-1.010170789e+06,662,2171,3817,5786,54,59,45606,10421,1022,28,0,0,0
340,1545017349802,27487,-1.009812504e+06,653,2265,3746,5740,54,71,45643,10374,1025,35,0,0,0
350,1545017369603,27536,-1.008951042e+06,625,2177,3801,5644,47,52,45814,10212,1019,32,0,0,0
360,1545017389188,27465,-1.010883278e+06,626,2338,3870,5653,49,59,45593,10400,1057,27,0,0,0
370,1545017408569,27453,-1.009789496e+06,653,2166,3903,5604,48,59,45686,10377,986,28,0,0,0
380,1545017427917,27418,-1.010796451e+06,723,2140,3990,5665,48,56,45546,10473,1027,29,2,0,0
390,1545017447478,27356,-1.011207676e+06,684,2201,4004,5641,61,64,45489,10549,1011,28,0,0,0
400,1545017468149,27332,-1.012243134e+06,742,2263,3958,5750,45,50,45395,10583,1072,27,0,0,0
410,1545017487862,27425,-1.009971218e+06,707,2153,3982,5578,58,66,45605,10429,1015,27,1,0,0
420,1545017507845,27347,-1.011419030e+06,750,2175,4019,5623,62,69,45489,10508,1050,30,0,0,0
430,1545017527272,27377,-1.011201298e+06,727,2192,4005,5654,65,52,45532,10443,1056,44,2,0,0
440,1545017547397,27353,-1.011449785e+06,773,2175,4077,5565,69,60,45468,10528,1052,29,0,0,0
450,1545017568122,27291,-1.011786328e+06,766,2221,4111,5576,57,66,45373,10647,1021,36,0,0,0
460,1545017588654,27370,-1.012002658e+06,735,2196,4083,5594,45,67,45418,10631,996,31,1,0,0
470,1545017608083,27457,-1.010840818e+06,807,2154,4106,5424,59,54,45524,10534,987,32,0,0,0
480,1545017629286,27494,-1.010188442e+06,744,2224,4054,5333,66,84,45687,10312,1041,37,0,0,0
490,1545017648881,27462,-1.010332750e+06,714,2193,4030,5471,60,70,45581,10472,1006,18,0,0,0
500,1545017668865,27480,-1.010639818e+06,825,2174,4096,5385,66,70,45603,10363,1080,31,0,0,0
510,1545017688247,27551,-1.010060366e+06,829,2148,4102,5351,46,66,45646,10354,1043,34,0,0,0
520,1545017708164,27479,-1.009902500e+06,797,2065,4178,5267,64,65,45653,10443,950,31,0,0,0
530,1545017728347,27430,-1.011315393e+06,787,2117,4221,5410,56,59,45519,10506,1013,38,1,0,0
540,1545017748852,27394,-1.011344132e+06,837,2183,4162,5439,57,59,45483,10481,1083,30,0,0,0
550,1545017769077,27356,-1.011078753e+06,818,2152,4314,5370,53,44,45485,10461,1103,28,0,0,0
560,1545017788791,27362,-1.011797097e+06,787,2187,4285,5424,58,62,45430,10528,1082,37,0,0,0
570,1545017808587,27379,-1.011452732e+06,772,2096,4291,5473,54,53,45466,10514,1066,31,0,0,0
580,1545017828246,27401,-1.010845006e+06,780,2134,4121,5478,50,51,45592,10382,1077,26,0,0,0
590,1545017847578,27456,-1.010720115e+06,779,2089,4209,5427,52,50,45578,10426,1039,34,0,0,0
600,1545017867610,27449,-1.011227315e+06,831,2103,4175,5488,63,56,45502,10463,1083,29,0,0,0
610,1545017886941,27333,-1.011177613e+06,809,2126,4245,5477,48,50,45485,10460,1101,31,0,0,0
620,1545017907315,27376,-1.011016688e+06,814,2198,4167,5433,57,51,45499,10475,1064,39,0,0,0
630,1545017927977,27442,-1.011226375e+06,763,2134,4250,5421,53,49,45540,10444,1054,38,1,0,0
640,1545017948799,27380,-1.010324648e+06,710,2139,4173,5421,48,61,45583,10467,996,31,0,0,0
650,1545017969190,27497,-1.011212252e+06,791,2156,4177,5443,54,71,45494,10505,1047,31,0,0,0
660,1545017989080,27378,-1.010884069e+06,678,2195,4123,5526,54,62,45549,10449,1048,31,0,0,0
670,1545018009357,27430,-1.011520634e+06,702,2208,4156,5519,77,67,45481,10494,1071,31,0,0,0
680,1545018030080,27353,-1.011353313e+06,741,2214,4094,5501,56,55,45527,10471,1047,32,0,0,0
690,1545018050256,27433,-1.010415515e+06,749,2160,4079,5427,60,66,45631,10385,1029,30,2,0,0
700,1545018071099,27397,-1.011067169e+06,694,2106,4060,5546,66,90,45593,10430,1030,24,0,0,0
710,1545018091748,27363,-1.011121961e+06,809,2109,4102,5540,48,52,45568,10392,1083,34,0,0,0
720,1545018112506,27376,-1.011134828e+06,782,2134,4132,5530,76,54,45477,10525,1043,31,1,0,0
730,1545018133770,27344,-1.011127522e+06,767,2055,4188,5601,62,75,45456,10527,1061,33,0,0,0
740,1545018155145,27394,-1.011277226e+06,740,2188,4167,5510,57,50,45492,10488,1067,30,0,0,0
750,1545018175068,27435,-1.011534969e+06,726,2155,4113,5635,41,56,45500,10466,1073,38,0,0,0
760,1545018196004,27275,-1.012347164e+06,711,2186,4047,5717,72,62,45433,10526,1085,33,0,0,0
770,1545018216425,27380,-1.011479054e+06,764,2228,4058,5608,58,57,45493,10437,1106,40,1,0,0
780,1545018237412,27309,-1.012012878e+06,812,2294,3937,5670,58,65,45407,10544,1086,40,0,0,0
790,1545018258063,27328,-1.011528670e+06,774,2216,3948,5669,52,61,45437,10591,1018,31,0,0,0
800,1545018279436,27367,-1.010925168e+06,746,2273,4014,5553,46,50,45529,10441,1080,27,0,0,0
810,1545018299983,27344,-1.011707397e+06,730,2304,3969,5589,55,56,45486,10503,1064,24,0,0,0
820,1545018321253,27290,-1.012653169e+06,759,2304,4037,5692,54,73,45321,10633,1085,36,2,0,0
830,1545018341248,27407,-1.011346634e+06,818,2285,3903,5587,61,71,45461,10537,1049,30,0,0,0
840,1545018362860,27319,-1.011241387e+06,689,2256,3982,5617,62,67,45489,10543,1005,40,0,0,0
850,1545018383952,27484,-1.010825779e+06,741,2288,3960,5466,83,68,45576,10430,1038,32,1,0,0
860,1545018404847,27319,-1.011467060e+06,742,2323,4021,5567,77,52,45397,10611,1036,33,0,0,0
870,1545018426092,27352,-1.010695066e+06,739,2219,4019,5483,54,52,45643,10340,1056,38,0,0,0
880,1545018447917,27364,-1.011269519e+06,757,2268,4130,5483,62,49,45494,10444,1112,27,0,0,0
890,1545018468794,27350,-1.011701551e+06,784,2209,4126,5507,63,64,45436,10567,1036,38,0,0,0
900,1545018490192,27309,-1.011871783e+06,714,2255,4160,5555,62,51,45409,10556,1095,17,0,0,0
910,1545018510810,27331,-1.012022964e+06,641,2289,4219,5527,57,52,45408,10586,1050,33,0,0,0
920,1545018531546,27349,-1.010474813e+06,647,2211,4156,5424,55,51,45587,10468,990,32,0,0,0
930,1545018552178,27389,-1.010690726e+06,675,2237,4209,5447,47,63,45456,10592,1001,28,0,0,0
940,1545018572741,27523,-1.010466916e+06,702,2298,4156,5340,50,65,45595,10388,1060,33,1,0,0
950,1545018593681,27497,-1.009594304e+06,707,2211,4087,5285,63,69,45708,10355,976,37,1,0,0
960,1545018614115,27412,-1.010374085e+06,732,2223,4101,5387,48,51,45599,10456,980,42,0,0,0
970,1545018634310,27460,-1.010140700e+06,671,2248,4139,5319,70,60,45667,10350,1025,33,2,0,0
980,1545018654861,27332,-1.011778531e+06,716,2242,4126,5534,56,70,45481,10479,1086,31,0,0,0
990,1545018674776,27349,-1.010810796e+06,674,2224,4102,5562,69,55,45511,10476,1060,30,0,0,0
1000,1545018695098,27395,-1.010788519e+06,713,2244,4092,5462,63,49,45588,10382,1080,27,0,0,0
1010,1545018714991,27384,-1.011386629e+06,792,2315,4062,5439,57,72,45454,10541,1050,32,0,0,0
1020,1545018735686,27547,-1.009963560e+06,767,2313,3959,5358,54,45,45657,10374,1017,28,1,0,0
1030,1545018755601,27445,-1.011331611e+06,745,2302,4050,5460,57,59,45562,10391,1090,34,0,0,0
1040,1545018776933,27447,-1.011744838e+06,739,2272,4071,5577,44,51,45466,10503,1073,35,0,0,0
1050,1545018796914,27430,-1.011369963e+06,677,2289,4016,5616,59,48,45504,10476,1062,35,0,0,0
1060,1545018817503,27354,-1.010853909e+06,711,2254,3991,5555,55,61,45574,10418,1046,39,0,0,0
1070,1545018837977,27346,-1.011778971e+06,706,2251,4067,5610,64,46,45493,10455,1098,31,0,0,0
1080,1545018858929,27409,-1.011559825e+06,757,2263,4064,5554,67,54,45465,10504,1069,39,0,0,0
1090,1545018879203,27336,-1.011462942e+06,653,2230,4129,5605,55,56,45459,10545,1038,33,2,0,0
1100,1545018900168,27433,-1.010670592e+06,731,2157,4102,5488,74,59,45583,10417,1038,38,1,0,0
1110,1545018920897,27342,-1.011971312e+06,712,2209,4218,5604,52,61,45406,10519,1119,33,0,0,0
1120,1545018941746,27299,-1.012229406e+06,771,2289,4236,5466,50,48,45388,10555,1097,37,0,0,0
1130,1545018961920,27359,-1.010704801e+06,651,2198,4253,5384,49,57,45618,10367,1051,41,0,0,0
1140,1545018983049,27419,-1.011089432e+06,814,2146,4230,5401,55,50,45504,10481,1061,31,0,0,0
1150,1545019003149,27316,-1.012125112e+06,705,2183,4158,5568,52,68,45438,10578,1027,34,0,0,0
1160,1545019024039,27368,-1.011773445e+06,781,2180,4093,5612,58,68,45451,10500,1087,38,1,0,0
