iteration,0,1,2,3,4,5,6,7,8
1260,253236,206860,149830,46948,2997,126,3,0,0
1270,253544,206480,149716,47080,3057,119,3,1,0
1280,253357,206777,149733,46901,3109,121,1,1,0
1290,253735,206164,149779,47143,3048,129,2,0,0
1300,253590,206214,150062,47006,3003,118,7,0,0
1310,253840,205980,149833,47178,3028,138,3,0,0
1320,253883,205837,150066,46977,3091,140,6,0,0
1330,253818,205958,149886,47214,2996,124,4,0,0
1340,253813,205951,149992,47058,3044,137,5,0,0
1350,253480,206517,149809,47050,3011,127,6,0,0
1360,253597,206403,149723,47088,3063,121,5,0,0
1370,253436,206476,150053,46854,3054,122,5,0,0
1380,253521,206446,149882,46949,3073,123,6,0,0
1390,253633,206317,149820,47017,3080,127,5,1,0
1400,253569,206396,149808,47049,3061,105,12,0,0
1410,253156,206872,150080,46729,3040,117,6,0,0
1420,253444,206437,150090,46853,3062,109,4,1,0
1430,253468,206523,149863,46966,3051,125,4,0,0
1440,253522,206543,149657,47115,3024,132,7,0,0
1450,253530,206435,149821,47063,3029,114,8,0,0
1460,253611,206228,150075,46858,3097,126,5,0,0
1470,253558,206380,149887,46981,3073,115,6,0,0
1480,253577,206399,149766,47083,3056,118,1,0,0
1490,253373,206676,149828,46949,3052,120,1,1,0
1500,253444,206551,149851,47013,3001,136,4,0,0
1510,253393,206465,150172,46801,3060,106,3,0,0
1520,253392,206665,149757,47058,3001,120,6,1,0
1530,253519,206397,149975,46923,3050,132,4,0,0
1540,253260,206831,149787,47009,3000,110,3,0,0
1550,253583,206332,149917,46982,3044,140,2,0,0
1560,253711,206273,149715,47038,3135,125,3,0,0
1570,253435,206737,149552,47077,3071,124,4,0,0
1580,253578,206341,149965,46884,3090,135,7,0,0
1590,253653,206256,149932,46912,3096,146,5,0,0
1600,253521,206529,149772,46923,3122,128,5,0,0
1610,253446,206579,149805,47004,3036,125,5,0,0
1620,253543,206431,149858,46951,3090,122,5,0,0
1630,253475,206533,149814,47017,3022,134,5,0,0
1640,253271,206844,149811,46893,3054,123,4,0,0
1650,253522,206511,149796,46933,3096,138,4,0,0
1660,253432,206706,149686,46911,3140,121,4,0,0
1670,253536,206576,149644,46977,3135,128,3,1,0
1680,253247,206932,149753,46837,3110,115,6,0,0
1690,253201,206917,149831,46883,3070,96,2,0,0
1700,253181,207030,149762,46793,3108,121,5,0,0
1710,253110,207130,149688,46913,3043,113,3,0,0
1720,253211,206932,149872,46750,3108,120,7,0,0
1730,253057,207093,149931,46772,3011,131,5,0,0
1740,253380,206722,149727,46999,3040,126,5,1,0
1750,253465,206643,149626,47082,3067,111,6,0,0
1760,253395,206628,149828,47019,2996,129,5,0,0
1770,253287,206774,149825,47002,2994,114,4,0,0
1780,253316,206754,149801,46988,3028,110,3,0,0
1790,253383,206679,149791,46978,3048,115,4,2,0
1800,253524,206452,149774,47134,2987,124,5,0,0
1810,253166,207018,149770,46893,3007,141,5,0,0
1820,253169,206961,149855,46852,3047,112,3,1,0
1830,253412,206610,149866,46928,3052,127,4,1,0
1840,253429,206520,149992,46881,3042,131,5,0,0
1850,253295,206751,149898,46905,3021,126,4,0,0
1860,253346,206625,150056,46770,3070,125,8,0,0
1870,253369,206735,149760,46909,3124,96,7,0,0
1880,253463,206540,149879,46889,3115,109,5,0,0
1890,253606,206423,149630,47173,3047,116,5,0,0
1900,253707,206136,149936,47023,3076,113,9,0,0
1910,253582,206352,149833,47067,3052,111,3,0,0
1920,253497,206396,150017,46914,3055,118,3,0,0
1930,253388,206745,149680,46977,3091,114,5,0,0
1940,253540,206429,149822,47046,3033,123,7,0,0
1950,253538,206333,150001,46959,3060,106,3,0,0
1960,253322,206712,149913,46867,3075,106,4,1,0
1970,253337,206871,149597,46961,3123,106,5,0,0
1980,253338,206763,149789,46916,3066,121,7,0,0
1990,253125,207223,149514,46934,3078,121,5,0,0
2000,253132,207145,149691,46810,3073,143,6,0,0
2010,253228,206998,149715,46798,3131,126,4,0,0
2020,253273,206753,150046,46696,3097,131,4,0,0
2030,253359,206866,149534,47021,3100,117,3,0,0
2040,253293,206818,149777,46942,3052,114,4,0,0
2050,253402,206693,149767,46911,3098,126,3,0,0
2060,253561,206380,149935,46872,3132,114,6,0,0
2070,253406,206587,149962,46823,3095,122,5,0,0
2080,253505,206476,149980,46729,3179,126,4,1,0
2090,253517,206429,149990,46802,3132,123,7,0,0
2100,253598,206416,149813,46857,3200,109,7,0,0
2110,253265,206919,149713,46892,3080,127,4,0,0
2120,253333,206658,149993,46842,3045,124,5,0,0
2130,253221,206916,149827,46836,3082,114,4,0,0
2140,253494,206480,149865,46991,3039,125,6,0,0
2150,253405,206704,149746,46908,3109,124,4,0,0
2160,253183,207152,149460,47029,3044,127,5,0,0
2170,252904,207433,149709,46802,3022,125,5,0,0
2180,252977,207345,149724,46744,3080,125,5,0,0
2190,253042,207129,149851,46881,2964,128,5,0,0
2200,253316,206724,149896,46918,3007,132,7,0,0
2210,253261,206944,149698,46882,3068,140,7,0,0
2220,253304,206701,149989,46825,3063,114,4,0,0
2230,253198,206911,149858,46898,3003,125,7,0,0
2240,253081,207180,149704,46873,3026,128,7,1,0
2250,253056,207183,149738,46907,2966,145,4,1,0
