iteration,0,1,2,3,4,5,6
1650,1967,6248,1615,158,12,0,0
1660,1952,6270,1620,143,14,1,0
1670,1968,6232,1644,144,12,0,0
1680,1973,6226,1637,156,8,0,0
1690,1984,6209,1638,161,8,0,0
1700,1956,6271,1601,161,11,0,0
1710,1968,6227,1650,147,8,0,0
1720,1954,6253,1637,151,5,0,0
1730,1955,6251,1637,153,4,0,0
1740,1948,6258,1645,145,3,1,0
1750,1962,6227,1664,143,4,0,0
1760,1978,6210,1651,157,3,1,0
1770,1965,6241,1635,148,10,1,0
1780,1974,6228,1633,155,9,1,0
1790,1960,6247,1634,152,6,1,0
1800,1981,6209,1647,156,6,1,0
1810,2001,6174,1659,157,8,1,0
1820,2001,6182,1645,161,10,1,0
1830,2006,6173,1651,157,11,2,0
1840,1997,6187,1645,162,8,1,0
1850,2010,6169,1644,167,8,2,0
1860,2033,6130,1652,174,11,0,0
1870,2020,6132,1687,150,11,0,0
1880,2045,6095,1689,157,14,0,0
1890,2041,6098,1695,152,14,0,0
1900,2036,6117,1671,164,11,1,0
1910,2075,6036,1713,166,10,0,0
1920,2041,6096,1703,145,12,3,0
1930,2030,6107,1705,149,9,0,0
1940,2030,6102,1712,150,6,0,0
1950,2016,6141,1679,155,9,0,0
1960,2030,6110,1695,160,5,0,0
1970,2007,6154,1676,158,5,0,0
1980,2021,6135,1675,161,8,0,0
1990,2049,6093,1678,169,11,0,0
2000,2047,6101,1668,173,11,0,0
2010,2017,6130,1696,150,7,0,0
2020,2059,6054,1722,158,7,0,0
2030,2043,6094,1691,164,8,0,0
2040,2045,6106,1662,178,9,0,0
2050,2049,6101,1663,176,10,1,0
2060,2044,6086,1709,148,13,0,0
2070,2071,6032,1735,150,12,0,0
2080,2037,6107,1689,154,12,1,0
2090,1996,6186,1655,149,13,1,0
2100,2004,6186,1633,160,17,0,0
2110,1960,6269,1598,159,12,2,0
2120,1948,6285,1595,163,9,0,0
2130,1928,6316,1595,150,11,0,0
2140,1955,6250,1648,134,13,0,0
2150,1966,6236,1644,140,14,0,0
2160,1983,6196,1667,146,8,0,0
2170,1985,6208,1641,155,10,1,0
2180,1956,6263,1615,157,9,0,0
2190,1967,6243,1628,147,15,0,0
2200,2000,6171,1670,147,12,0,0
2210,1994,6180,1673,138,15,0,0
2220,1978,6208,1661,142,11,0,0
2230,1996,6183,1660,147,14,0,0
2240,2008,6166,1658,154,14,0,0
2250,2007,6171,1651,158,12,1,0
2260,2021,6130,1688,150,11,0,0
2270,2006,6151,1688,147,8,0,0
2280,1990,6185,1670,145,10,0,0
2290,1994,6198,1636,159,12,1,0
2300,2010,6158,1667,152,13,0,0
2310,1990,6206,1629,164,11,0,0
2320,1968,6248,1611,162,11,0,0
2330,1990,6191,1661,146,11,1,0
2340,1951,6265,1630,142,11,1,0
2350,1964,6245,1637,137,15,2,0
2360,1985,6213,1635,151,16,0,0
2370,1950,6269,1624,145,12,0,0
2380,1984,6208,1647,146,15,0,0
2390,1956,6264,1616,152,12,0,0
2400,1946,6282,1609,152,11,0,0
2410,1960,6267,1600,159,14,0,0
2420,1985,6195,1664,147,9,0,0
2430,1986,6202,1647,156,9,0,0
2440,1993,6188,1655,154,10,0,0
2450,1987,6204,1638,164,7,0,0
2460,1980,6212,1645,154,9,0,0
2470,2002,6169,1666,153,10,0,0
2480,1981,6214,1639,156,10,0,0
2490,1978,6217,1645,147,13,0,0
2500,2002,6165,1674,149,10,0,0
2510,1979,6201,1672,137,11,0,0
2520,2001,6158,1689,144,8,0,0
2530,1977,6196,1686,132,9,0,0
2540,1974,6217,1651,151,7,0,0
2550,1977,6213,1652,149,9,0,0
2560,1982,6204,1657,147,9,1,0
2570,2001,6162,1681,148,8,0,0
2580,1986,6194,1667,141,11,1,0
2590,1955,6254,1642,134,15,0,0
2600,1997,6174,1672,146,11,0,0
2610,1961,6221,1683,127,8,0,0
2620,1964,6223,1672,131,10,0,0
2630,1988,6198,1646,162,6,0,0
2640,1985,6198,1656,154,7,0,0
2650,1978,6206,1661,148,7,0,0
2660,2017,6148,1659,170,6,0,0
2670,1973,6225,1641,151,10,0,0
2680,1978,6211,1654,147,10,0,0
2690,1975,6211,1660,147,7,0,0
2700,1986,6202,1647,157,7,1,0
2710,1977,6220,1633,166,4,0,0
2720,1958,6251,1634,147,10,0,0
2730,1996,6175,1672,147,10,0,0
