iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
0,1540765843261,57077,-9.242578207e+05,0,0,0,0,0,0,57077,0,0,0,0,0,0
10,1540765849533,35926,-9.385415700e+05,294,218,253,476,120,100,55635,1423,19,0,0,0,0
20,1540765854192,34605,-9.483047685e+05,290,362,460,1348,85,151,54436,2586,55,0,0,0,0
30,1540765857658,33325,-9.604146858e+05,364,524,729,2547,70,161,52793,4175,107,2,0,0,0
40,1540765861408,31895,-9.724841182e+05,356,714,932,4043,64,145,51052,5798,225,2,0,0,0
50,1540765863766,30765,-9.818597455e+05,470,859,1166,5136,70,132,49554,7215,306,2,0,0,0
60,1540765866677,29916,-9.898141346e+05,483,1029,1360,6001,72,115,48476,8150,443,8,0,0,0
70,1540765868662,29294,-9.942123548e+05,503,1080,1576,6459,75,104,47849,8675,538,14,1,0,0
80,1540765871581,28988,-9.969007657e+05,463,1252,1744,6701,49,88,47374,9116,580,7,0,0,0
90,1540765873673,28658,-9.996610318e+05,537,1300,1907,6832,61,84,47040,9366,658,13,0,0,0
100,1540765879028,28417,-1.000955923e+06,567,1398,1966,6957,49,80,46786,9580,696,15,0,0,0
110,1540765881238,28227,-1.003176649e+06,608,1438,2132,7028,57,91,46475,9871,710,21,0,0,0
120,1540765883956,28061,-1.003816366e+06,590,1457,2214,7034,55,73,46432,9881,750,14,0,0,0
130,1540765885923,28011,-1.004721420e+06,587,1504,2253,7126,58,83,46311,9941,806,18,1,0,0
140,1540765888580,27951,-1.004762105e+06,632,1572,2318,6993,64,76,46248,10023,786,20,0,0,0
150,1540765890615,27935,-1.004948798e+06,586,1600,2426,6928,48,63,46244,10031,786,16,0,0,0
160,1540765893283,27879,-1.006096572e+06,587,1678,2560,6885,38,74,46143,10063,854,17,0,0,0
170,1540765895479,27798,-1.007097620e+06,553,1718,2707,6842,57,67,46061,10116,873,26,1,0,0
180,1540765897950,27870,-1.006761772e+06,619,1752,2676,6753,46,73,46114,10030,910,23,0,0,0
190,1540765899742,27827,-1.006420029e+06,629,1721,2722,6721,49,69,46101,10062,893,21,0,0,0
200,1540765903223,27790,-1.007103853e+06,604,1820,2717,6731,66,81,45993,10176,881,27,0,0,0
210,1540765905003,27748,-1.007067429e+06,567,1857,2787,6632,58,88,46027,10129,903,18,0,0,0
220,1540765907487,27627,-1.008021414e+06,621,1905,2896,6652,57,66,45825,10329,901,22,0,0,0
230,1540765909368,27625,-1.008172270e+06,694,1931,2931,6518,49,69,45862,10270,913,32,0,0,0
240,1540765911960,27604,-1.008611908e+06,633,1931,3017,6461,54,66,45835,10346,872,24,0,0,0
