iteration,0,1,2,3,4,5,6,7,8
1260,253416,206587,149910,46903,3042,136,6,0,0
1270,253415,206561,149913,46968,3010,129,4,0,0
1280,253494,206526,149784,47019,3043,127,7,0,0
1290,253412,206567,149943,46890,3070,111,7,0,0
1300,253208,206917,149787,46973,2991,118,6,0,0
1310,253576,206451,149707,47043,3111,110,2,0,0
1320,253160,206939,149895,46865,3032,106,3,0,0
1330,253256,206984,149615,46931,3080,131,3,0,0
1340,253612,206400,149791,46916,3138,140,3,0,0
1350,253665,206223,149871,47067,3038,134,2,0,0
1360,253631,206208,149904,47168,2969,116,4,0,0
1370,253780,206070,149796,47224,2986,142,2,0,0
1380,253371,206757,149658,47058,3030,123,3,0,0
1390,253299,206706,149937,46946,2979,132,1,0,0
1400,253114,207140,149658,46951,2995,141,1,0,0
1410,253010,207177,149851,46869,2956,132,5,0,0
1420,253471,206604,149732,46990,3059,138,6,0,0
1430,253100,207147,149692,46905,3030,122,4,0,0
1440,253331,206696,149902,46936,2991,136,8,0,0
1450,253465,206537,149817,47022,3041,110,7,1,0
1460,253075,207046,149967,46758,3028,122,4,0,0
1470,252967,207212,149892,46847,2950,129,3,0,0
1480,253035,207118,149918,46802,3003,116,8,0,0
1490,252914,207342,149819,46804,3004,110,7,0,0
1500,253219,206926,149815,46863,3038,131,8,0,0
1510,253414,206701,149699,46985,3064,132,5,0,0
1520,253474,206533,149866,46911,3083,128,5,0,0
1530,253291,206783,149806,47001,2997,118,4,0,0
1540,253130,207172,149553,46987,3034,120,3,1,0
1550,253435,206594,149818,46964,3074,108,7,0,0
1560,253254,206804,149888,46925,3004,121,4,0,0
1570,253815,206045,149813,47106,3100,115,6,0,0
1580,253674,206281,149769,47063,3079,128,6,0,0
1590,253602,206418,149673,47130,3042,132,3,0,0
1600,253394,206702,149693,47082,2985,139,4,1,0
1610,253471,206646,149593,47142,3005,136,7,0,0
1620,253330,206731,149884,46859,3059,134,3,0,0
1630,253560,206455,149735,47071,3035,142,2,0,0
1640,253754,206065,149963,47002,3082,129,5,0,0
1650,253571,206459,149734,47001,3115,110,10,0,0
1660,253388,206693,149720,47072,2988,135,4,0,0
1670,253381,206629,149925,46870,3070,119,6,0,0
1680,253412,206547,149964,46924,3020,126,6,1,0
1690,253285,206858,149695,47038,2992,122,10,0,0
1700,253274,206903,149702,46903,3108,108,2,0,0
1710,253452,206639,149796,46822,3156,131,4,0,0
1720,253276,206807,149896,46816,3076,125,4,0,0
1730,253268,206749,149927,46942,3002,109,3,0,0
1740,253368,206566,150019,46920,3003,120,4,0,0
1750,253454,206517,149924,46907,3078,118,2,0,0
1760,253098,207086,149790,46912,2975,136,3,0,0
1770,253186,206859,150001,46807,3020,125,1,1,0
1780,253551,206331,150017,46915,3044,138,4,0,0
1790,253668,206197,149922,47027,3056,126,4,0,0
1800,253433,206610,149773,47037,3005,139,3,0,0
1810,253493,206531,149848,46863,3146,114,5,0,0
1820,253121,207134,149734,46782,3099,125,4,1,0
1830,253042,207289,149610,46883,3043,128,5,0,0
1840,252987,207339,149766,46655,3107,140,6,0,0
1850,253202,207049,149603,46983,3026,130,7,0,0
1860,253144,207038,149816,46798,3089,110,5,0,0
1870,253336,206807,149694,46970,3079,106,7,1,0
1880,253315,206761,149825,46932,3045,119,3,0,0
1890,253506,206454,149899,46954,3051,134,2,0,0
1900,253493,206545,149837,46858,3134,127,6,0,0
1910,253430,206583,149879,46900,3085,119,4,0,0
1920,253260,206872,149759,46947,3045,113,4,0,0
1930,253357,206793,149656,47004,3073,111,6,0,0
1940,253344,206730,149804,46943,3065,111,3,0,0
1950,253610,206360,149786,47017,3121,103,3,0,0
1960,253459,206489,149934,46933,3089,88,8,0,0
1970,253381,206631,149914,46861,3110,100,3,0,0
1980,253224,206931,149709,47009,3013,112,2,0,0
1990,252989,207333,149591,46981,2991,112,3,0,0
2000,253201,206918,149759,47033,2982,105,2,0,0
2010,253196,206923,149853,46873,3028,123,3,1,0
2020,253108,207172,149608,46961,3031,115,5,0,0
2030,253323,206659,150005,46848,3046,112,6,1,0
2040,253323,206796,149754,46935,3072,117,3,0,0
2050,253475,206529,149865,46922,3078,123,8,0,0
2060,253761,206204,149685,47114,3102,128,6,0,0
2070,253792,205998,150002,46970,3107,126,5,0,0
2080,253374,206652,149844,46984,3025,118,3,0,0
2090,253474,206540,149832,46932,3116,100,6,0,0
2100,253617,206431,149635,47103,3086,122,6,0,0
2110,253459,206524,149900,46906,3100,108,3,0,0
2120,253352,206590,150045,46852,3047,109,4,1,0
2130,253499,206470,149977,46757,3184,110,2,1,0
2140,253493,206550,149803,46891,3147,113,3,0,0
2150,253292,206749,149994,46710,3146,105,4,0,0
2160,253205,206954,149810,46839,3059,127,4,2,0
2170,253338,206830,149648,46992,3066,122,4,0,0
2180,252998,207270,149782,46775,3040,129,6,0,0
2190,253260,206911,149704,46958,3035,125,7,0,0
2200,253442,206520,149913,46983,3014,120,7,1,0
2210,253312,206775,149828,46901,3058,122,4,0,0
2220,253606,206314,149874,47021,3054,127,4,0,0
2230,253279,206902,149730,46853,3107,123,6,0,0
2240,253541,206422,149908,46901,3088,133,7,0,0
2250,253315,206762,149879,46832,3080,128,4,0,0
2260,253534,206394,149933,46926,3107,102,4,0,0
2270,253547,206287,150086,46904,3054,119,3,0,0
2280,253378,206736,149762,46898,3089,132,5,0,0
2290,253107,207122,149755,46845,3036,122,12,1,0
2300,253223,207048,149588,46937,3059,141,4,0,0
2310,253223,206978,149745,46823,3097,129,5,0,0
2320,253240,206930,149765,46871,3047,144,2,1,0
2330,253160,207094,149673,46862,3086,120,5,0,0
2340,253071,207125,149853,46780,3034,129,8,0,0
2350,253240,206784,150008,46818,3009,136,5,0,0
2360,253161,207028,149731,46942,3011,122,5,0,0
2370,253211,206972,149731,46911,3049,120,5,1,0
2380,253369,206842,149535,47074,3040,134,6,0,0
2390,253192,207037,149675,46915,3047,125,8,1,0
2400,253351,206792,149737,46897,3079,138,5,1,0
2410,253395,206793,149650,46886,3136,135,5,0,0
2420,253315,206887,149611,46995,3058,130,4,0,0
2430,253400,206700,149782,46871,3116,127,4,0,0
2440,253382,206685,149820,46918,3060,129,6,0,0
2450,253159,207017,149778,46900,3008,134,3,1,0
2460,253317,206680,149933,46946,3008,112,4,0,0
2470,253376,206782,149657,46981,3066,132,5,1,0
2480,253584,206482,149600,47158,3040,132,4,0,0
2490,253761,206000,150025,47048,3029,132,5,0,0
2500,253826,205994,149881,47119,3019,155,6,0,0
2510,253408,206604,149945,46808,3098,132,5,0,0
2520,253344,206772,149772,46910,3062,134,6,0,0
2530,253429,206736,149592,47020,3100,118,5,0,0
2540,253562,206370,149906,46993,3020,137,10,2,0
2550,253711,206206,149760,47154,3036,130,3,0,0
2560,253642,206224,149875,47151,2973,129,6,0,0
2570,253659,206165,149969,47071,3001,130,5,0,0
2580,253345,206664,149880,46996,2989,124,2,0,0
2590,253184,207054,149614,47007,3012,125,4,0,0
2600,253313,206814,149748,46948,3042,133,1,1,0
2610,253494,206465,149885,46994,3030,129,3,0,0
2620,253333,206784,149849,46765,3127,139,1,2,0
2630,253353,206758,149751,46944,3066,124,4,0,0
2640,253519,206492,149716,47157,2980,132,3,1,0
2650,253553,206504,149726,46983,3080,149,5,0,0
2660,253356,206650,150015,46731,3120,121,7,0,0
2670,253561,206492,149759,46897,3162,123,6,0,0
2680,253398,206554,150091,46688,3153,109,6,1,0
2690,253585,206398,149802,46990,3106,111,7,1,0
2700,253687,206211,149851,47068,3037,141,5,0,0
2710,253540,206439,149910,46839,3141,127,3,1,0
2720,253459,206588,149844,46847,3134,123,3,2,0
2730,253283,206874,149735,46918,3056,127,6,1,0
2740,253503,206555,149838,46790,3177,131,6,0,0
2750,253360,206804,149656,46987,3050,136,6,1,0
2760,253440,206656,149749,46924,3089,135,6,1,0
2770,253497,206564,149723,47008,3083,117,7,1,0
2780,253631,206286,149883,46992,3072,132,4,0,0
2790,253575,206346,149925,46937,3098,113,6,0,0
2800,253405,206661,149786,46938,3102,103,5,0,0
2810,253588,206410,149773,46987,3134,102,5,1,0
2820,253481,206353,150132,46892,3010,126,5,1,0
2830,253539,206348,150041,46855,3085,127,5,0,0
2840,253587,206281,149976,46973,3071,108,4,0,0
2850,253227,206794,150011,46816,3027,122,3,0,0
2860,253172,206787,150133,46792,3016,94,5,1,0
2870,253227,206793,150058,46708,3108,101,5,0,0
2880,253521,206319,150063,46956,3024,111,6,0,0
2890,253503,206490,149864,46914,3109,117,2,1,0
2900,253441,206599,149796,46978,3063,115,8,0,0
2910,253459,206521,149901,46920,3083,111,5,0,0
2920,253342,206650,149959,46898,3019,130,2,0,0
2930,253356,206595,150020,46871,3042,112,4,0,0
2940,253346,206705,149720,47193,2908,124,4,0,0
2950,253229,206851,149883,46900,3011,118,7,1,0
2960,253192,206858,149918,46945,2967,117,3,0,0
2970,253297,206737,149859,47033,2926,146,2,0,0
2980,253548,206383,149811,47176,2947,131,4,0,0
2990,253502,206495,149837,46960,3082,121,3,0,0
3000,253566,206315,149935,47052,3004,125,3,0,0
3010,253391,206688,149730,47045,3018,123,5,0,0
3020,253278,206884,149669,47022,3028,114,5,0,0
3030,253511,206502,149753,47088,3007,134,5,0,0
3040,253504,206565,149641,47128,3047,109,6,0,0
3050,253428,206543,149907,46965,3040,114,3,0,0
