iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-MB,aggDist-BDAY,aggDist-BYEAR,aggDist-SEX,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4
680,1545619604000,406767,-1.303669543e+07,8501,16793,7696,3455,624519,34534,930,17,0
690,1545619616362,406686,-1.303716983e+07,8421,16972,7661,3507,624396,34653,945,6,0
700,1545619629698,406967,-1.303277232e+07,8066,16981,7746,3361,624793,34274,919,14,0
710,1545619642473,406725,-1.303484300e+07,8432,16833,7653,3272,624701,34417,873,9,0
720,1545619654418,406898,-1.303211043e+07,8298,16581,7831,3209,625032,34031,924,12,1
730,1545619665170,407059,-1.303295904e+07,8648,16191,7860,3190,624988,34141,865,6,0
740,1545619676374,407042,-1.303296600e+07,8694,16143,7680,3367,625050,34031,904,15,0
750,1545619688126,406955,-1.303230251e+07,8430,16148,8014,3420,624923,34154,911,12,0
760,1545619700618,406789,-1.303794215e+07,8443,16669,8106,3456,624322,34690,980,8,0
770,1545619712625,406823,-1.303416132e+07,8464,16384,7936,3418,624789,34231,969,11,0
780,1545619724302,406878,-1.303366092e+07,8373,16370,8085,3305,624849,34181,958,12,0
790,1545619736245,406826,-1.303035507e+07,8208,16176,8162,3334,625084,33963,942,11,0
800,1545619748962,406742,-1.302996762e+07,8064,16380,8113,3306,625042,34065,881,12,0
810,1545619760438,406770,-1.303091961e+07,8082,16344,8322,3230,624924,34180,890,6,0
820,1545619772688,406887,-1.303292560e+07,7927,16596,8355,3414,624668,34382,940,10,0
830,1545619784643,407052,-1.302985433e+07,7791,16443,8339,3416,624965,34094,928,13,0
840,1545619797328,406689,-1.303575961e+07,8018,16525,8593,3494,624326,34737,918,19,0
850,1545619809030,406663,-1.303226404e+07,7992,16290,8534,3426,624714,34339,938,9,0
860,1545619821256,406737,-1.303450640e+07,8016,16538,8523,3388,624491,34563,936,10,0
870,1545619833512,406974,-1.303327413e+07,7848,16431,8602,3563,624572,34432,976,20,0
880,1545619845639,406738,-1.303204868e+07,8013,16266,8472,3461,624726,34347,916,11,0
890,1545619857044,406773,-1.303558431e+07,7962,16520,8720,3416,624404,34583,1004,9,0
900,1545619871263,406631,-1.303629106e+07,7776,16787,8682,3577,624161,34864,967,8,0
910,1545619883169,406548,-1.303906719e+07,8006,16672,8901,3444,623994,34998,999,9,0
920,1545619894300,406262,-1.304231835e+07,8111,16861,8983,3438,623669,35290,1020,21,0
930,1545619906360,406489,-1.303626703e+07,7730,16865,8867,3351,624160,34880,947,13,0
940,1545619918727,406553,-1.303413047e+07,7686,16729,8784,3386,624395,34640,950,15,0
950,1545619930238,406691,-1.303313014e+07,7695,16471,8843,3466,624413,34708,870,9,0
960,1545619941614,406574,-1.303457820e+07,7765,16571,8798,3448,624373,34681,937,9,0
970,1545619953109,406588,-1.303052416e+07,7642,16439,8686,3414,624703,34421,868,8,0
980,1545619966049,406656,-1.303173864e+07,7463,16580,8903,3499,624521,34524,944,11,0
990,1545619978345,406720,-1.303175615e+07,7567,16451,8911,3517,624494,34573,926,7,0
1000,1545619990346,406658,-1.303425623e+07,7919,16315,8803,3511,624419,34624,947,10,0
1010,1545620001573,406620,-1.303798750e+07,8173,16187,8932,3555,624114,34935,941,10,0
1020,1545620013891,406903,-1.302940657e+07,7791,15983,8913,3348,624840,34296,853,11,0
1030,1545620025501,406599,-1.303466983e+07,8027,16016,9082,3412,624429,34616,944,11,0
1040,1545620036829,406478,-1.303548149e+07,8120,16182,8876,3343,624457,34571,966,6,0
1050,1545620048861,406972,-1.302838098e+07,7744,15851,8820,3498,625051,33994,946,9,0
1060,1545620061514,406849,-1.303089949e+07,7899,16080,8861,3266,624831,34242,917,10,0
1070,1545620072997,406609,-1.303108070e+07,7868,15787,9060,3469,624756,34317,914,13,0
1080,1545620085488,406808,-1.302710422e+07,7564,15782,9196,3295,625121,33941,918,20,0
1090,1545620097738,406979,-1.302720090e+07,7701,15707,8923,3475,625087,34036,861,16,0
1100,1545620110223,406904,-1.302949150e+07,7831,15614,9214,3357,624961,34069,963,7,0
1110,1545620122769,406811,-1.303202620e+07,8061,15597,9079,3530,624656,34426,913,5,0
1120,1545620134576,407006,-1.303156940e+07,8016,15628,9098,3455,624759,34292,942,7,0
1130,1545620146769,406706,-1.303433639e+07,7985,15868,9289,3434,624347,34744,895,14,0
1140,1545620158652,406975,-1.303009938e+07,7930,15471,9112,3653,624832,34180,978,10,0
1150,1545620170786,407019,-1.303248712e+07,8069,15375,9424,3444,624661,34377,951,11,0
1160,1545620183019,407066,-1.302770640e+07,7851,15303,9245,3420,625096,34003,887,14,0
1170,1545620194345,406915,-1.302976417e+07,7752,15714,9291,3293,624853,34250,891,6,0
1180,1545620206442,406813,-1.302855995e+07,7828,15612,9196,3249,625034,34059,895,12,0
1190,1545620217815,406929,-1.303315791e+07,7980,15705,9282,3449,624564,34463,966,7,0
1200,1545620242232,406958,-1.302949179e+07,7619,15785,9436,3236,624882,34170,938,10,0
1210,1545620253350,406939,-1.302851103e+07,7715,15562,9389,3279,624966,34127,903,4,0
1220,1545620265671,406769,-1.303063667e+07,7798,15558,9530,3302,624814,34192,986,8,0
1230,1545620277482,406844,-1.302910551e+07,7995,15178,9372,3425,624958,34120,916,6,0
1240,1545620289764,406818,-1.303146224e+07,7819,15656,9493,3315,624654,34418,919,9,0
1250,1545620300954,406854,-1.302842574e+07,7787,15319,9521,3365,624944,34126,924,6,0
1260,1545620313626,406584,-1.303554683e+07,8409,15344,9365,3384,624449,34611,929,11,0
1270,1545620325994,406585,-1.303984241e+07,8518,15477,9480,3489,624071,34912,1000,16,1
1280,1545620337881,406506,-1.304003625e+07,8461,15540,9470,3684,623865,35129,992,14,0
1290,1545620350289,406588,-1.303918461e+07,8218,15746,9666,3406,623969,35036,985,10,0
1300,1545620362181,406792,-1.303409259e+07,8002,15636,9487,3396,624487,34514,990,9,0
1310,1545620374321,406424,-1.303761825e+07,8159,15678,9622,3434,624101,34917,970,12,0
1320,1545620386596,406840,-1.303345429e+07,7932,15592,9526,3540,624423,34579,983,15,0
1330,1545620398787,406744,-1.303263763e+07,7926,15540,9578,3355,624536,34535,923,6,0
1340,1545620410665,406388,-1.303903812e+07,8331,15672,9502,3453,624067,34919,1003,11,0
1350,1545620422776,406335,-1.303838756e+07,8273,15440,9813,3432,624043,34966,981,10,0
1360,1545620435511,406369,-1.303994432e+07,8677,15388,9558,3293,624072,34950,968,10,0
1370,1545620447724,406220,-1.303984581e+07,8487,15528,9578,3398,624006,35007,977,10,0
1380,1545620459194,406629,-1.303411785e+07,7943,15538,9665,3468,624386,34619,990,5,0
1390,1545620471455,406701,-1.303317025e+07,7797,15622,9681,3380,624485,34561,943,11,0
1400,1545620483921,406886,-1.303081863e+07,7876,15456,9495,3375,624809,34190,991,10,0
