iteration,0,1,2,3,4,5,6,7,8,9,10
1090,29956,8633,9678,6668,1734,324,64,16,4,0,0
1100,29932,8721,9619,6616,1791,305,72,19,2,0,0
1110,29841,8755,9725,6629,1743,309,59,14,2,0,0
1120,29817,8820,9729,6541,1775,310,73,9,2,1,0
1130,29921,8734,9622,6611,1776,333,64,15,1,0,0
1140,29898,8756,9607,6643,1780,319,58,14,1,1,0
1150,29868,8721,9696,6707,1688,310,72,12,2,1,0
1160,29876,8704,9729,6656,1709,324,65,11,3,0,0
1170,29842,8749,9678,6738,1695,291,69,12,2,1,0
1180,29835,8778,9739,6583,1745,314,64,16,1,2,0
1190,29932,8668,9680,6664,1711,343,61,14,2,2,0
1200,29941,8741,9569,6657,1732,344,75,15,3,0,0
1210,29847,8740,9749,6628,1710,327,58,14,2,2,0
1220,29732,8868,9834,6552,1677,324,79,7,3,0,1
1230,29832,8792,9720,6576,1781,285,72,16,3,0,0
1240,29952,8676,9690,6519,1838,323,63,10,5,1,0
1250,29928,8718,9623,6619,1789,318,67,12,3,0,0
1260,29847,8827,9649,6590,1747,324,80,10,3,0,0
1270,29894,8716,9723,6588,1749,316,69,17,4,0,1
1280,29968,8649,9676,6581,1788,331,66,14,4,0,0
1290,29843,8805,9699,6586,1725,322,78,15,3,1,0
1300,29930,8626,9769,6587,1767,320,66,8,4,0,0
1310,29880,8738,9689,6632,1728,326,68,13,3,0,0
1320,29885,8740,9680,6621,1741,328,68,12,1,0,1
1330,29943,8685,9615,6700,1716,330,71,14,3,0,0
1340,29940,8641,9716,6626,1753,316,64,18,3,0,0
1350,29935,8578,9812,6649,1705,301,82,10,4,1,0
1360,29971,8596,9728,6650,1712,322,74,20,3,1,0
1370,30016,8576,9647,6699,1711,331,74,17,6,0,0
1380,30008,8662,9560,6696,1679,368,82,17,5,0,0
1390,29976,8668,9569,6719,1720,331,83,7,4,0,0
1400,29964,8703,9572,6649,1776,319,76,16,2,0,0
1410,29970,8672,9624,6660,1697,352,87,13,2,0,0
1420,29907,8783,9524,6738,1712,315,78,19,1,0,0
1430,29967,8638,9641,6672,1757,315,74,10,3,0,0
1440,29945,8727,9568,6656,1774,314,76,14,2,0,1
1450,29818,8894,9590,6619,1749,319,66,19,2,0,1
1460,29936,8704,9649,6598,1772,337,61,18,2,0,0
1470,30012,8613,9615,6626,1791,343,66,7,4,0,0
1480,29994,8534,9732,6675,1747,320,62,10,3,0,0
1490,29833,8877,9575,6622,1779,299,74,15,3,0,0
1500,29815,8840,9601,6753,1677,301,72,14,3,1,0
1510,29860,8741,9705,6656,1725,303,70,13,4,0,0
1520,29888,8761,9649,6620,1753,319,62,21,4,0,0
1530,29981,8566,9710,6718,1699,302,78,21,2,0,0
1540,29997,8562,9707,6648,1754,329,67,10,3,0,0
1550,29931,8638,9753,6577,1789,304,72,10,3,0,0
1560,29848,8711,9809,6586,1722,314,78,8,1,0,0
1570,29816,8807,9737,6595,1709,324,72,13,4,0,0
1580,29911,8686,9726,6596,1737,338,70,11,2,0,0
1590,29879,8817,9632,6526,1807,321,82,11,2,0,0
1600,29850,8714,9782,6616,1723,310,69,9,4,0,0
1610,29862,8785,9656,6621,1758,309,66,17,2,1,0
1620,29872,8783,9680,6540,1802,317,65,13,5,0,0
1630,29891,8711,9733,6555,1809,286,78,12,1,1,0
1640,29961,8668,9577,6728,1748,307,74,12,2,0,0
1650,29942,8630,9697,6694,1708,318,69,17,2,0,0
1660,29870,8705,9738,6663,1695,325,68,10,3,0,0
1670,29836,8745,9740,6654,1705,322,67,6,2,0,0
1680,29822,8806,9685,6637,1733,320,64,7,2,1,0
1690,29898,8732,9634,6695,1707,323,71,14,2,1,0
1700,29874,8713,9688,6728,1670,318,70,14,2,0,0
1710,29850,8773,9680,6683,1677,322,74,13,3,2,0
1720,29823,8804,9712,6618,1709,327,69,10,5,0,0
1730,29898,8665,9821,6524,1758,322,72,12,5,0,0
1740,29987,8586,9735,6580,1770,331,72,15,0,1,0
1750,29975,8632,9712,6541,1786,346,71,14,0,0,0
1760,29957,8662,9713,6532,1777,348,73,14,0,1,0
1770,29975,8642,9633,6670,1734,339,62,20,2,0,0
