iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
570,1545093102218,27071,-1.013407848e+06,766,2192,4341,5653,53,58,45212,10700,1132,33,0,0,0
580,1545093195094,27229,-1.012430365e+06,796,2181,4261,5549,48,55,45377,10562,1086,52,0,0,0
590,1545093287534,27291,-1.011536947e+06,823,2210,4093,5523,71,48,45412,10594,1040,30,1,0,0
600,1545093380336,27213,-1.013082115e+06,826,2349,4108,5633,51,61,45256,10645,1145,31,0,0,0
610,1545093472894,27231,-1.013067827e+06,821,2334,4129,5570,52,66,45302,10613,1127,35,0,0,0
620,1545093566201,27200,-1.012493693e+06,763,2211,4276,5549,57,60,45321,10632,1088,36,0,0,0
630,1545093660939,27107,-1.012703492e+06,838,2194,4282,5566,48,51,45229,10748,1070,29,1,0,0
640,1545093754882,27139,-1.013194953e+06,780,2103,4335,5707,59,63,45222,10712,1094,49,0,0,0
650,1545093848080,27240,-1.012108373e+06,718,2118,4278,5656,68,41,45294,10717,1038,26,2,0,0
660,1545093941064,27347,-1.011126002e+06,694,2159,4117,5523,62,48,45519,10539,993,26,0,0,0
670,1545094035156,27242,-1.013093064e+06,724,2250,4272,5632,50,54,45226,10744,1083,24,0,0,0
680,1545094127584,27183,-1.012967948e+06,755,2278,4188,5648,57,51,45240,10732,1070,35,0,0,0
690,1545094221165,27235,-1.012336668e+06,775,2229,4197,5601,66,51,45281,10708,1054,33,1,0,0
700,1545094314961,27194,-1.012747259e+06,752,2272,4130,5685,82,44,45265,10690,1092,29,1,0,0
710,1545094407236,27221,-1.011921125e+06,745,2111,4148,5698,70,65,45349,10649,1049,30,0,0,0
720,1545094497451,27261,-1.012556235e+06,718,2209,4129,5688,74,44,45369,10580,1102,26,0,0,0
730,1545094585916,27194,-1.012906648e+06,795,2136,4156,5715,68,67,45234,10772,1048,23,0,0,0
740,1545094671887,27080,-1.013440653e+06,932,2195,4118,5772,57,48,45186,10704,1144,42,1,0,0
750,1545094758643,27142,-1.013021253e+06,779,2221,4087,5775,63,63,45247,10708,1086,36,0,0,0
760,1545094844370,27047,-1.012701831e+06,774,2122,4095,5811,63,72,45300,10658,1078,41,0,0,0
770,1545094929688,27088,-1.013808198e+06,835,2147,4156,5898,59,43,45128,10787,1135,27,0,0,0
780,1545095016817,27163,-1.012867735e+06,832,2113,4092,5831,66,62,45306,10585,1147,39,0,0,0
790,1545095103775,27150,-1.012637784e+06,729,2295,4054,5765,45,73,45272,10680,1095,29,1,0,0
800,1545095190660,27164,-1.012899897e+06,789,2233,4123,5696,52,44,45313,10626,1105,31,2,0,0
