iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
980,28540,10205,10210,6445,1363,236,64,11,3,0,0,0,0
990,28571,10150,10215,6454,1388,225,62,10,2,0,0,0,0
1000,28615,10079,10249,6434,1390,235,62,13,0,0,0,0,0
1010,28596,10087,10292,6423,1354,246,64,14,0,1,0,0,0
1020,28648,10082,10170,6482,1370,245,60,16,4,0,0,0,0
1030,28673,10069,10135,6477,1400,252,52,17,2,0,0,0,0
1040,28683,10029,10199,6450,1381,255,64,12,3,1,0,0,0
1050,28706,10000,10166,6493,1390,245,62,11,4,0,0,0,0
1060,28730,9951,10194,6490,1393,241,60,13,5,0,0,0,0
1070,28789,9887,10175,6483,1421,248,57,12,4,1,0,0,0
1080,28785,9898,10153,6507,1417,238,64,10,5,0,0,0,0
1090,28787,9918,10107,6545,1383,263,60,9,5,0,0,0,0
1100,28823,9855,10112,6570,1392,250,58,14,3,0,0,0,0
1110,28879,9769,10167,6493,1452,233,70,10,4,0,0,0,0
1120,28870,9830,10074,6543,1429,247,72,9,3,0,0,0,0
1130,28869,9806,10091,6558,1434,250,59,6,3,1,0,0,0
1140,28875,9824,10027,6633,1387,255,60,12,3,1,0,0,0
1150,28928,9704,10123,6573,1429,243,65,9,3,0,0,0,0
1160,28965,9713,10079,6513,1469,253,72,10,3,0,0,0,0
1170,28980,9678,10096,6524,1455,267,64,8,5,0,0,0,0
1180,28994,9679,10092,6483,1479,272,60,15,3,0,0,0,0
1190,28958,9724,10077,6514,1458,268,64,11,3,0,0,0,0
1200,28994,9673,10084,6514,1461,269,70,11,1,0,0,0,0
1210,28968,9673,10132,6496,1478,255,62,11,2,0,0,0,0
1220,28965,9694,10095,6538,1443,260,70,9,3,0,0,0,0
1230,29074,9601,9987,6598,1468,274,62,10,3,0,0,0,0
1240,29091,9528,10080,6559,1484,253,67,11,4,0,0,0,0
1250,29060,9626,10026,6528,1476,273,72,14,2,0,0,0,0
1260,29072,9619,9981,6582,1468,272,65,16,2,0,0,0,0
1270,29146,9543,9960,6561,1509,269,74,14,1,0,0,0,0
1280,29120,9555,9972,6584,1502,265,64,12,2,1,0,0,0
1290,29112,9488,10101,6564,1460,274,65,10,2,1,0,0,0
1300,29112,9526,10037,6560,1503,266,59,12,1,1,0,0,0
1310,29200,9442,9983,6585,1516,275,59,15,2,0,0,0,0
1320,29225,9369,10011,6629,1514,255,55,14,5,0,0,0,0
1330,29220,9384,10042,6555,1526,279,56,12,2,1,0,0,0
1340,29243,9356,10034,6564,1531,272,65,10,1,1,0,0,0
1350,29226,9394,9988,6571,1580,248,57,12,1,0,0,0,0
1360,29234,9358,9997,6649,1504,265,57,9,4,0,0,0,0
1370,29218,9423,9972,6595,1515,279,58,14,3,0,0,0,0
1380,29250,9347,9988,6662,1482,268,65,11,3,1,0,0,0
1390,29261,9332,10038,6567,1533,262,67,13,3,1,0,0,0
1400,29295,9270,10046,6566,1568,267,47,17,0,1,0,0,0
1410,29290,9301,10026,6564,1535,288,60,12,1,0,0,0,0
1420,29377,9187,9984,6652,1514,286,61,14,2,0,0,0,0
1430,29329,9299,9915,6640,1531,285,68,9,1,0,0,0,0
1440,29446,9074,10005,6657,1542,276,66,10,1,0,0,0,0
1450,29412,9112,10038,6628,1521,294,58,9,5,0,0,0,0
1460,29386,9178,10004,6599,1546,292,57,12,3,0,0,0,0
1470,29340,9193,10084,6582,1521,273,68,15,1,0,0,0,0
1480,29361,9160,10053,6630,1530,270,61,11,1,0,0,0,0
1490,29357,9200,10052,6546,1572,268,68,13,1,0,0,0,0
1500,29360,9257,9933,6620,1546,270,78,12,1,0,0,0,0
1510,29424,9136,10009,6586,1544,295,69,12,2,0,0,0,0
1520,29439,9152,9941,6605,1572,284,71,10,3,0,0,0,0
1530,29352,9257,9997,6520,1590,277,69,13,2,0,0,0,0
1540,29409,9128,10055,6535,1609,266,60,13,1,1,0,0,0
1550,29292,9313,9971,6623,1531,269,65,11,1,1,0,0,0
1560,29296,9276,10039,6576,1546,268,64,10,1,1,0,0,0
1570,29382,9185,10048,6525,1554,307,62,14,0,0,0,0,0
1580,29383,9165,10025,6607,1527,296,66,7,1,0,0,0,0
1590,29326,9257,10008,6554,1607,249,65,9,2,0,0,0,0
1600,29360,9226,9999,6564,1566,285,69,6,2,0,0,0,0
1610,29387,9207,9969,6566,1598,273,65,9,3,0,0,0,0
1620,29417,9155,10017,6533,1595,270,73,15,2,0,0,0,0
1630,29423,9161,9977,6580,1553,301,70,11,1,0,0,0,0
1640,29456,9091,10052,6501,1597,305,62,10,3,0,0,0,0
1650,29423,9131,10026,6596,1505,309,70,15,2,0,0,0,0
1660,29415,9106,10109,6506,1575,283,66,13,3,1,0,0,0
1670,29435,9086,10025,6634,1540,279,64,12,2,0,0,0,0
1680,29404,9175,9961,6647,1519,284,69,16,1,1,0,0,0
1690,29461,9081,10019,6578,1567,290,64,14,3,0,0,0,0
1700,29415,9139,10010,6568,1602,268,62,10,3,0,0,0,0
1710,29439,9136,9964,6586,1591,291,55,14,1,0,0,0,0
1720,29456,9148,9929,6557,1624,291,60,8,3,1,0,0,0
1730,29513,9040,9986,6567,1589,297,74,9,2,0,0,0,0
