iteration,0,1,2,3,4,5,6,7,8,9,10,11
211020,162463,135957,138134,10529,943,99,8,1,0,0,0,0
211030,162427,135953,138245,10468,937,89,11,4,0,0,0,0
211040,162434,135946,138230,10470,963,82,7,2,0,0,0,0
211050,162431,135960,138215,10474,959,84,11,0,0,0,0,0
211060,162455,135926,138215,10485,955,87,9,2,0,0,0,0
211070,162378,136017,138266,10422,946,97,6,2,0,0,0,0
211080,162368,135975,138373,10373,939,99,6,1,0,0,0,0
211090,162354,136021,138308,10413,941,88,9,0,0,0,0,0
211100,162315,136048,138337,10422,921,84,7,0,0,0,0,0
211110,162344,136019,138312,10440,933,79,5,2,0,0,0,0
211120,162318,136078,138310,10374,967,77,9,1,0,0,0,0
211130,162324,136094,138245,10442,936,79,13,1,0,0,0,0
211140,162299,136121,138279,10395,947,78,13,2,0,0,0,0
211150,162318,136110,138217,10472,921,86,10,0,0,0,0,0
211160,162251,136176,138299,10378,933,88,9,0,0,0,0,0
211170,162260,136185,138246,10403,959,74,7,0,0,0,0,0
211180,162257,136200,138231,10411,945,81,9,0,0,0,0,0
211190,162306,136158,138149,10508,918,89,5,1,0,0,0,0
211200,162298,136120,138237,10479,908,81,11,0,0,0,0,0
211210,162331,136039,138298,10466,911,78,10,1,0,0,0,0
211220,162345,135972,138393,10427,898,91,8,0,0,0,0,0
211230,162306,136060,138338,10426,911,83,9,1,0,0,0,0
211240,162288,136109,138313,10406,921,85,12,0,0,0,0,0
211250,162304,136082,138307,10433,913,84,10,1,0,0,0,0
211260,162278,136168,138198,10496,899,85,9,1,0,0,0,0
211270,162245,136184,138262,10451,897,86,8,1,0,0,0,0
211280,162212,136231,138251,10451,901,84,4,0,0,0,0,0
211290,162229,136215,138261,10416,923,83,7,0,0,0,0,0
211300,162189,136266,138286,10378,922,85,7,1,0,0,0,0
211310,162177,136287,138246,10428,917,72,6,1,0,0,0,0
211320,162180,136305,138209,10451,899,78,12,0,0,0,0,0
211330,162211,136255,138204,10482,894,79,9,0,0,0,0,0
211340,162193,136245,138287,10417,906,76,10,0,0,0,0,0
211350,162223,136239,138230,10428,932,69,13,0,0,0,0,0
