iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
980,28081,10795,10251,6373,1299,217,49,10,2,0,0,0,0
990,28156,10660,10289,6387,1317,209,48,11,0,0,0,0,0
1000,28160,10668,10293,6337,1341,232,35,10,1,0,0,0,0
1010,28224,10559,10351,6327,1327,223,53,11,1,1,0,0,0
1020,28246,10515,10344,6365,1325,224,49,7,2,0,0,0,0
1030,28251,10547,10280,6392,1324,219,49,12,2,1,0,0,0
1040,28240,10523,10380,6308,1342,220,50,10,4,0,0,0,0
1050,28232,10528,10361,6366,1305,217,54,12,2,0,0,0,0
1060,28223,10563,10312,6371,1338,208,51,9,2,0,0,0,0
1070,28295,10450,10332,6391,1332,215,52,6,3,1,0,0,0
1080,28319,10451,10289,6391,1340,223,53,6,5,0,0,0,0
1090,28321,10416,10336,6390,1336,209,57,8,4,0,0,0,0
1100,28361,10378,10332,6374,1335,226,57,11,3,0,0,0,0
1110,28401,10339,10299,6409,1322,232,64,7,4,0,0,0,0
1120,28409,10398,10203,6390,1367,244,52,9,5,0,0,0,0
1130,28365,10364,10324,6396,1343,220,54,7,4,0,0,0,0
1140,28420,10326,10255,6436,1348,226,55,7,4,0,0,0,0
1150,28402,10390,10163,6491,1349,215,56,7,4,0,0,0,0
1160,28407,10383,10148,6515,1340,226,46,9,3,0,0,0,0
1170,28424,10357,10150,6516,1349,221,53,3,4,0,0,0,0
1180,28523,10229,10186,6446,1405,225,53,5,5,0,0,0,0
1190,28541,10205,10160,6496,1403,202,53,12,5,0,0,0,0
1200,28583,10147,10152,6538,1362,225,56,9,5,0,0,0,0
1210,28586,10120,10175,6546,1365,216,58,7,4,0,0,0,0
1220,28546,10150,10254,6453,1388,223,52,7,4,0,0,0,0
1230,28543,10150,10255,6478,1364,207,72,4,4,0,0,0,0
1240,28556,10156,10225,6468,1378,224,56,13,1,0,0,0,0
1250,28514,10215,10254,6411,1371,245,59,6,2,0,0,0,0
1260,28662,10027,10150,6549,1418,206,56,7,2,0,0,0,0
1270,28637,10090,10147,6502,1399,235,54,12,1,0,0,0,0
1280,28656,10067,10132,6531,1386,238,54,9,4,0,0,0,0
1290,28675,10036,10166,6462,1443,234,49,9,3,0,0,0,0
1300,28627,10061,10198,6498,1405,231,50,5,2,0,0,0,0
1310,28645,10005,10263,6477,1392,236,47,11,1,0,0,0,0
1320,28668,10009,10218,6461,1423,241,47,10,0,0,0,0,0
1330,28757,9945,10157,6465,1422,263,57,10,1,0,0,0,0
1340,28788,9872,10203,6457,1437,258,46,14,2,0,0,0,0
1350,28780,9937,10106,6489,1448,250,52,13,2,0,0,0,0
1360,28792,9949,10068,6515,1409,270,59,13,2,0,0,0,0
1370,28847,9837,10125,6477,1483,239,54,12,3,0,0,0,0
1380,28861,9864,10066,6466,1508,241,54,14,3,0,0,0,0
