iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
700,21826,6873,5321,2977,1464,678,349,148,64,26,13,3,1,0,0,0,0,0,0
710,21962,6696,5310,2994,1477,706,331,172,57,26,7,4,0,1,0,0,0,0,0
720,21889,6708,5401,2972,1494,720,331,139,51,19,11,5,1,2,0,0,0,0,0
730,21740,6824,5518,2940,1487,672,337,127,58,25,11,3,1,0,0,0,0,0,0
740,21905,6743,5381,2944,1469,711,333,147,67,24,14,4,1,0,0,0,0,0,0
750,21747,6846,5481,2950,1476,686,312,146,58,27,9,0,5,0,0,0,0,0,0
760,21813,6841,5393,2959,1442,714,321,160,65,23,8,0,4,0,0,0,0,0,0
770,21874,6741,5455,2904,1446,741,339,137,70,23,12,1,0,0,0,0,0,0,0
780,21940,6687,5351,2959,1529,719,307,147,63,25,11,4,1,0,0,0,0,0,0
790,21818,6833,5376,2923,1523,726,297,141,70,26,7,2,1,0,0,0,0,0,0
800,21895,6715,5396,2990,1474,706,319,134,63,34,11,5,0,1,0,0,0,0,0
810,21971,6704,5293,2964,1541,668,342,143,75,23,14,3,2,0,0,0,0,0,0
820,21877,6807,5374,2903,1473,718,323,152,72,28,11,4,0,1,0,0,0,0,0
830,21863,6689,5461,3024,1456,686,306,161,52,28,14,2,0,1,0,0,0,0,0
840,21981,6695,5368,2875,1460,782,322,155,57,27,14,4,2,1,0,0,0,0,0
850,21998,6622,5340,2998,1513,692,318,146,70,28,11,4,2,0,0,1,0,0,0
860,21902,6801,5314,2945,1466,730,334,132,67,30,16,3,2,0,1,0,0,0,0
870,21884,6702,5431,2999,1445,726,302,147,62,27,12,2,2,2,0,0,0,0,0
880,21983,6655,5356,2939,1506,703,343,154,70,22,7,4,1,0,0,0,0,0,0
890,21933,6714,5365,2940,1478,721,333,156,68,23,11,1,0,0,0,0,0,0,0
900,21928,6679,5413,2982,1421,735,336,138,70,27,8,5,0,1,0,0,0,0,0
910,21873,6754,5369,2955,1492,739,335,140,62,12,7,3,1,0,1,0,0,0,0
920,21970,6658,5361,2983,1488,709,300,149,79,27,12,5,2,0,0,0,0,0,0
930,21962,6764,5240,2958,1497,719,339,154,70,32,6,2,0,0,0,0,0,0,0
940,21970,6673,5342,2972,1504,670,359,151,51,32,13,5,1,0,0,0,0,0,0
950,21922,6698,5466,2862,1483,710,345,143,75,20,17,0,2,0,0,0,0,0,0
960,21959,6654,5385,2980,1480,688,330,160,71,20,10,3,2,0,1,0,0,0,0
970,21803,6800,5479,2938,1457,667,341,148,72,33,3,1,1,0,0,0,0,0,0
980,21866,6793,5398,2924,1441,734,331,155,57,31,7,2,2,2,0,0,0,0,0
990,21958,6610,5417,3012,1460,695,336,163,60,20,7,2,0,3,0,0,0,0,0
1000,21831,6841,5391,2878,1513,703,330,160,62,23,7,2,2,0,0,0,0,0,0
1010,21964,6692,5358,2915,1486,715,367,147,66,22,8,2,1,0,0,0,0,0,0
1020,21972,6606,5402,2976,1509,706,335,135,57,30,8,6,1,0,0,0,0,0,0
1030,22001,6590,5407,2931,1527,699,338,148,58,29,12,2,1,0,0,0,0,0,0
1040,21984,6664,5344,2930,1492,747,320,165,69,15,9,2,2,0,0,0,0,0,0
1050,21895,6691,5441,2953,1490,706,310,153,65,27,8,1,3,0,0,0,0,0,0
1060,21932,6722,5346,2933,1500,721,346,153,50,27,9,3,1,0,0,0,0,0,0
1070,21897,6722,5417,2914,1502,699,347,149,64,18,11,3,0,0,0,0,0,0,0
1080,21875,6753,5419,2944,1455,722,303,164,65,29,11,3,0,0,0,0,0,0,0
1090,21882,6655,5514,2911,1511,725,302,148,62,21,10,1,0,0,1,0,0,0,0
1100,21820,6905,5300,2967,1439,717,331,162,60,26,14,2,0,0,0,0,0,0,0
1110,21927,6704,5399,2913,1507,715,325,143,70,28,7,2,0,1,0,1,1,0,0
1120,21930,6730,5344,2957,1481,713,316,158,80,20,11,3,0,0,0,0,0,0,0
1130,21926,6693,5346,2971,1568,679,302,153,64,31,8,1,0,1,0,0,0,0,0
1140,21945,6679,5427,2897,1494,696,354,143,62,25,17,3,0,0,1,0,0,0,0
1150,21834,6826,5357,2970,1443,743,342,137,50,22,13,5,1,0,0,0,0,0,0
1160,21889,6749,5370,2941,1506,709,346,135,58,25,13,2,0,0,0,0,0,0,0
1170,21875,6807,5358,2897,1494,739,332,140,55,25,12,7,2,0,0,0,0,0,0
1180,21850,6801,5376,2943,1500,710,304,147,71,26,10,4,1,0,0,0,0,0,0
1190,21848,6830,5398,2892,1462,730,308,168,68,20,15,3,1,0,0,0,0,0,0
1200,21922,6681,5461,2921,1432,735,324,172,56,25,7,3,2,2,0,0,0,0,0
1210,21860,6730,5411,3001,1481,682,334,147,67,21,6,1,1,1,0,0,0,0,0
1220,21848,6832,5402,2928,1421,705,333,157,74,22,10,6,4,1,0,0,0,0,0
1230,21903,6788,5349,2883,1517,718,330,146,59,35,8,5,1,0,1,0,0,0,0
1240,21889,6705,5478,2906,1451,735,319,159,69,20,7,4,1,0,0,0,0,0,0
1250,21929,6692,5332,2996,1510,750,299,130,67,20,12,4,1,1,0,0,0,0,0
1260,21908,6690,5361,3034,1487,704,312,151,50,30,14,2,0,0,0,0,0,0,0
1270,21802,6823,5419,2918,1518,690,344,138,56,25,7,3,0,0,0,0,0,0,0
1280,21871,6777,5371,2967,1426,742,362,140,49,24,6,7,1,0,0,0,0,0,0
1290,21966,6649,5429,2934,1435,710,365,144,73,25,7,5,1,0,0,0,0,0,0
1300,21904,6719,5400,2937,1512,679,342,146,59,33,7,3,2,0,0,0,0,0,0
1310,21927,6729,5339,2990,1438,712,348,163,59,29,7,2,0,0,0,0,0,0,0
1320,21962,6657,5409,2923,1457,743,355,139,63,19,6,6,2,1,0,1,0,0,0
1330,21807,6770,5501,2921,1469,695,333,163,53,20,8,2,1,0,0,0,0,0,0
1340,21855,6820,5303,3008,1443,750,319,148,61,28,7,1,0,0,0,0,0,0,0
1350,21955,6592,5481,2968,1483,679,306,170,67,31,6,3,2,0,0,0,0,0,0
1360,21985,6646,5341,2965,1504,737,315,138,67,28,14,2,0,1,0,0,0,0,0
1370,21930,6681,5395,2968,1458,730,338,149,59,20,8,2,4,1,0,0,0,0,0
1380,21992,6662,5281,3011,1486,750,310,141,66,33,7,1,1,1,1,0,0,0,0
1390,21848,6800,5380,2919,1526,711,314,144,54,32,11,3,1,0,0,0,0,0,0
1400,21822,6804,5427,2938,1484,692,316,161,59,27,8,3,2,0,0,0,0,0,0
1410,21838,6748,5470,2966,1441,680,355,147,60,28,8,2,0,0,0,0,0,0,0
1420,21827,6784,5420,2978,1435,743,310,156,55,19,11,3,2,0,0,0,0,0,0
1430,21884,6777,5393,2926,1439,736,325,149,78,20,8,7,1,0,0,0,0,0,0
1440,21900,6738,5373,2950,1483,703,347,150,73,19,4,1,2,0,0,0,0,0,0
1450,21770,6777,5546,2953,1443,680,320,160,60,24,5,3,2,0,0,0,0,0,0
1460,21879,6751,5451,2884,1486,682,354,154,64,20,11,5,1,1,0,0,0,0,0
1470,21881,6723,5417,2982,1463,687,338,158,52,28,6,7,0,0,1,0,0,0,0
1480,21945,6686,5358,2954,1508,697,337,165,63,21,7,2,0,0,0,0,0,0,0
1490,21943,6640,5406,2951,1506,740,327,143,53,21,8,3,1,1,0,0,0,0,0
1500,21840,6790,5381,2957,1508,721,295,146,71,21,10,2,1,0,0,0,0,0,0
1510,21919,6771,5404,2835,1448,754,353,146,74,28,9,1,1,0,0,0,0,0,0
