iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
520,1540807817205,17854,-5.743307165e+05,7263,499,107,325,48,155,331,70,31227,8243,264,9,0,0,0,0,0
530,1540807821228,17883,-5.743883106e+05,7460,515,100,254,48,157,295,79,31086,8410,243,4,0,0,0,0,0
540,1540807826551,17874,-5.747265834e+05,7481,478,112,261,59,151,340,78,31031,8471,235,5,1,0,0,0,0
550,1540807830789,17865,-5.751330930e+05,7572,526,127,253,53,100,308,81,30981,8506,254,2,0,0,0,0,0
560,1540807836106,17847,-5.753281899e+05,7598,486,160,230,51,141,329,56,30958,8521,262,2,0,0,0,0,0
570,1540807840334,17967,-5.750226513e+05,7539,528,119,321,59,136,276,69,30973,8498,267,5,0,0,0,0,0
580,1540807845552,17927,-5.743230166e+05,7434,512,120,274,46,148,256,76,31130,8361,251,1,0,0,0,0,0
590,1540807850125,17830,-5.758629368e+05,7564,593,116,295,66,135,324,73,30889,8553,290,11,0,0,0,0,0
600,1540807856321,17903,-5.753445996e+05,7527,577,135,276,64,99,292,79,30972,8499,266,6,0,0,0,0,0
610,1540807860644,17865,-5.755803580e+05,7551,608,120,297,42,105,272,73,30944,8535,259,5,0,0,0,0,0
620,1540807866155,17831,-5.762010309e+05,7549,650,138,320,36,141,245,82,30887,8556,295,5,0,0,0,0,0
630,1540807870439,17804,-5.755186238e+05,7526,616,105,313,52,102,274,96,30957,8490,294,2,0,0,0,0,0
640,1540807875565,17861,-5.751462692e+05,7546,532,103,307,68,155,268,75,30941,8556,240,6,0,0,0,0,0
650,1540807879769,17881,-5.754108029e+05,7596,465,100,347,53,172,281,70,30934,8539,265,5,0,0,0,0,0
660,1540807885607,17839,-5.742905357e+05,7450,537,85,262,62,119,277,67,31156,8318,266,3,0,0,0,0,0
670,1540807889788,17849,-5.742855219e+05,7401,512,110,265,50,136,296,59,31169,8322,249,3,0,0,0,0,0
680,1540807894965,17909,-5.752488136e+05,7643,545,110,257,37,102,304,63,30932,8564,244,3,0,0,0,0,0
690,1540807899353,17862,-5.757064246e+05,7643,570,119,254,58,118,288,90,30888,8577,271,7,0,0,0,0,0
700,1540807905706,17917,-5.755251139e+05,7732,560,131,239,56,116,223,57,30872,8630,239,2,0,0,0,0,0
710,1540807910002,17781,-5.768067625e+05,7743,593,138,276,56,175,300,78,30697,8739,302,4,1,0,0,0,0
