iteration,0,1,2,3,4,5,6,7,8,9,10
1130,137395,180863,122904,6475,452,40,5,0,0,0,0
1140,137592,180497,123059,6484,451,44,6,1,0,0,0
1150,137777,180182,123135,6534,460,38,7,0,1,0,0
1160,137959,179832,123266,6592,439,40,5,0,1,0,0
1170,138133,179526,123357,6633,439,38,7,1,0,0,0
1180,138324,179154,123541,6609,466,34,5,1,0,0,0
1190,138494,178863,123623,6652,449,46,6,1,0,0,0
1200,138705,178505,123731,6665,479,38,11,0,0,0,0
1210,138880,178168,123885,6672,477,40,12,0,0,0,0
1220,139064,177815,124015,6729,462,40,9,0,0,0,0
1230,139260,177497,124078,6779,465,47,7,1,0,0,0
1240,139390,177247,124183,6790,475,44,4,1,0,0,0
1250,139553,176920,124337,6809,467,43,5,0,0,0,0
1260,139747,176617,124369,6878,475,43,5,0,0,0,0
1270,139876,176366,124491,6876,475,43,6,1,0,0,0
1280,140027,176153,124461,6973,470,41,8,1,0,0,0
1290,140162,175884,124594,6968,481,37,7,1,0,0,0
1300,140327,175579,124708,6995,481,37,4,3,0,0,0
1310,140552,175192,124830,7026,478,46,8,2,0,0,0
1320,140703,174918,124952,7000,505,47,6,3,0,0,0
1330,140898,174549,125089,7042,510,38,5,3,0,0,0
1340,141038,174300,125162,7086,497,45,3,3,0,0,0
1350,141150,174085,125262,7084,500,47,4,2,0,0,0
1360,141300,173854,125276,7152,496,49,6,1,0,0,0
1370,141430,173634,125337,7169,512,44,5,3,0,0,0
1380,141561,173392,125444,7155,530,44,7,1,0,0,0
1390,141745,173067,125535,7215,515,51,5,1,0,0,0
1400,141901,172767,125676,7213,518,53,4,1,1,0,0
1410,142046,172509,125743,7268,515,45,6,2,0,0,0
1420,142137,172341,125815,7275,502,57,5,1,1,0,0
1430,142265,172108,125908,7280,508,55,8,1,1,0,0
1440,142375,171907,125996,7262,530,58,4,1,1,0,0
1450,142524,171672,126036,7300,529,65,7,1,0,0,0
1460,142636,171461,126122,7306,544,57,6,2,0,0,0
1470,142754,171231,126234,7299,559,42,13,2,0,0,0
1480,142830,171098,126294,7283,567,45,13,4,0,0,0
1490,142967,170885,126308,7339,574,49,9,3,0,0,0
1500,143033,170765,126337,7384,550,51,10,4,0,0,0
1510,143167,170529,126433,7359,582,53,8,3,0,0,0
1520,143285,170295,126516,7420,555,52,10,1,0,0,0
1530,143418,170099,126528,7456,568,54,8,3,0,0,0
1540,143584,169851,126547,7493,592,61,5,1,0,0,0
1550,143720,169558,126688,7537,574,50,6,1,0,0,0
1560,143905,169275,126703,7631,553,57,7,3,0,0,0
1570,143913,169273,126705,7591,590,55,6,1,0,0,0
1580,143973,169106,126850,7559,588,50,7,1,0,0,0
1590,144115,168863,126926,7570,600,52,7,1,0,0,0
1600,144251,168650,126951,7616,604,55,6,1,0,0,0
1610,144349,168434,127072,7632,586,51,9,1,0,0,0
1620,144441,168219,127221,7613,578,51,10,1,0,0,0
1630,144481,168165,127227,7613,576,61,10,1,0,0,0
1640,144591,167999,127222,7675,578,61,7,1,0,0,0
1650,144640,167919,127232,7685,602,49,6,1,0,0,0
1660,144691,167830,127265,7690,598,49,10,1,0,0,0
1670,144811,167616,127347,7688,609,55,7,1,0,0,0
1680,144890,167484,127350,7760,587,57,5,1,0,0,0
1690,144988,167301,127433,7754,596,52,9,1,0,0,0
1700,145067,167135,127522,7754,596,52,7,1,0,0,0
1710,145131,167074,127482,7773,608,54,9,3,0,0,0
1720,145204,166921,127557,7791,594,53,13,1,0,0,0
1730,145258,166849,127547,7810,603,54,12,1,0,0,0
1740,145363,166631,127663,7814,591,62,9,1,0,0,0
1750,145427,166489,127735,7839,577,54,11,2,0,0,0
1760,145538,166287,127811,7841,594,53,9,1,0,0,0
1770,145636,166143,127815,7881,590,57,11,1,0,0,0
1780,145695,166069,127782,7928,597,50,12,1,0,0,0
1790,145770,165895,127915,7887,602,53,10,1,1,0,0
1800,145828,165813,127918,7900,608,51,14,2,0,0,0
1810,145924,165648,127949,7945,604,49,13,2,0,0,0
1820,146005,165505,127985,7975,599,53,11,1,0,0,0
1830,146120,165334,127996,8014,601,55,11,3,0,0,0
1840,146177,165255,127963,8082,592,52,12,1,0,0,0
1850,146255,165131,128001,8071,602,64,10,0,0,0,0
1860,146287,165074,128021,8069,614,59,10,0,0,0,0
1870,146373,164878,128124,8108,581,60,10,0,0,0,0
1880,146435,164811,128097,8115,606,61,8,1,0,0,0
1890,146548,164563,128229,8143,579,64,8,0,0,0,0
1900,146609,164456,128299,8078,623,61,7,1,0,0,0
1910,146728,164267,128316,8133,622,60,8,0,0,0,0
1920,146867,164062,128317,8189,636,53,8,2,0,0,0
1930,146931,163991,128277,8236,628,61,7,2,1,0,0
1940,146966,163912,128322,8232,642,49,8,3,0,0,0
1950,147006,163813,128391,8230,634,50,8,1,1,0,0
1960,147040,163777,128366,8256,628,59,6,2,0,0,0
1970,147082,163743,128318,8291,630,60,8,2,0,0,0
1980,147110,163674,128381,8260,639,58,12,0,0,0,0
1990,147138,163585,128474,8231,634,61,10,1,0,0,0
2000,147208,163479,128450,8304,630,55,8,0,0,0,0
2010,147207,163454,128524,8250,625,64,8,2,0,0,0
2020,147282,163373,128438,8353,622,59,6,1,0,0,0
2030,147342,163267,128483,8355,614,61,9,3,0,0,0
2040,147409,163150,128534,8335,625,75,6,0,0,0,0
2050,147435,163087,128568,8348,625,60,10,1,0,0,0
2060,147570,162865,128602,8405,617,68,7,0,0,0,0
2070,147609,162747,128725,8361,614,70,8,0,0,0,0
2080,147640,162709,128686,8422,607,61,9,0,0,0,0
2090,147681,162605,128799,8344,634,63,8,0,0,0,0
2100,147738,162502,128811,8400,613,62,8,0,0,0,0
2110,147767,162447,128816,8433,606,58,7,0,0,0,0
2120,147807,162397,128822,8420,617,61,10,0,0,0,0
2130,147842,162330,128873,8378,643,56,12,0,0,0,0
2140,147910,162231,128864,8428,627,61,13,0,0,0,0
2150,147994,162107,128860,8460,647,57,9,0,0,0,0
2160,148056,161953,128953,8484,628,49,11,0,0,0,0
2170,148093,161831,129113,8394,629,65,9,0,0,0,0
2180,148107,161810,129093,8434,624,58,6,2,0,0,0
2190,148154,161727,129129,8428,628,56,11,1,0,0,0
2200,148173,161726,129085,8436,652,51,10,1,0,0,0
2210,148185,161683,129118,8463,612,60,13,0,0,0,0
2220,148238,161608,129111,8483,627,55,12,0,0,0,0
2230,148262,161543,129156,8484,627,53,9,0,0,0,0
2240,148322,161483,129123,8488,660,47,11,0,0,0,0
2250,148387,161343,129220,8462,658,53,9,2,0,0,0
2260,148389,161300,129293,8438,648,55,10,1,0,0,0
2270,148421,161223,129346,8436,642,53,13,0,0,0,0
2280,148500,161035,129472,8426,641,48,11,1,0,0,0
2290,148493,161103,129354,8489,629,57,8,1,0,0,0
2300,148579,160942,129420,8508,612,59,13,1,0,0,0
2310,148643,160814,129475,8509,630,55,8,0,0,0,0
2320,148617,160823,129543,8450,638,55,8,0,0,0,0
2330,148688,160700,129601,8419,664,53,9,0,0,0,0
2340,148702,160688,129560,8480,641,56,7,0,0,0,0
2350,148699,160682,129584,8459,649,56,4,1,0,0,0
2360,148717,160676,129541,8488,654,53,4,1,0,0,0
2370,148748,160651,129537,8458,675,55,10,0,0,0,0
2380,148788,160567,129581,8460,672,61,3,2,0,0,0
2390,148847,160482,129553,8539,647,57,7,2,0,0,0
2400,148863,160452,129575,8516,662,60,6,0,0,0,0
2410,148897,160442,129507,8554,663,63,7,1,0,0,0
2420,148947,160380,129506,8548,682,59,9,3,0,0,0
2430,149048,160172,129599,8576,671,57,10,1,0,0,0
2440,149077,160104,129640,8578,666,63,5,1,0,0,0
2450,149061,160102,129692,8542,672,56,9,0,0,0,0
2460,149128,160018,129646,8613,665,59,5,0,0,0,0
2470,149172,159927,129724,8562,677,67,5,0,0,0,0
2480,149196,159894,129701,8613,660,63,5,2,0,0,0
2490,149251,159793,129738,8628,651,62,10,1,0,0,0
2500,149267,159735,129797,8607,662,60,6,0,0,0,0
2510,149301,159711,129764,8624,663,61,7,1,1,1,0
2520,149247,159754,129845,8546,669,63,9,1,0,0,0
2530,149273,159719,129830,8581,654,66,11,0,0,0,0
2540,149314,159680,129813,8571,677,70,6,3,0,0,0
2550,149333,159681,129753,8612,680,61,12,2,0,0,0
2560,149370,159616,129790,8582,700,65,10,1,0,0,0
2570,149433,159478,129855,8602,699,59,7,1,0,0,0
2580,149421,159454,129939,8560,688,65,4,3,0,0,0
2590,149436,159474,129844,8628,681,63,7,1,0,0,0
2600,149474,159391,129900,8612,688,59,10,0,0,0,0
2610,149521,159312,129924,8616,690,61,9,1,0,0,0
2620,149565,159239,129918,8676,657,71,8,0,0,0,0
2630,149559,159209,129977,8662,657,64,5,1,0,0,0
2640,149557,159261,129890,8685,676,56,9,0,0,0,0
2650,149637,159083,130020,8646,674,67,7,0,0,0,0
2660,149675,159032,130013,8666,671,69,7,1,0,0,0
2670,149707,158995,129988,8686,693,57,8,0,0,0,0
2680,149681,158987,130086,8623,684,68,5,0,0,0,0
