iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-age,aggDist-gender,aggDist-zip_code,aggDist-first_name,aggDist-middle_name,aggDist-last_name,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
540,1540689172671,330038,-1.775191603e+07,2286,1546,240172,6164,32351,23581,177045,237478,32234,1354,23,0,0
550,1540689189282,329557,-1.775501758e+07,2163,1441,239666,6326,33264,24365,176553,237435,32666,1462,18,0,0
560,1540689205894,329129,-1.777362020e+07,2294,1478,240838,5841,34738,24582,174833,238332,33489,1459,21,0,0
570,1540689222203,328742,-1.777521702e+07,2234,1400,240449,6123,34892,24868,174877,238070,33683,1486,18,0,0
580,1540689238820,328350,-1.778477992e+07,2341,1439,240532,6407,35842,25232,174397,237411,34622,1678,26,0,0
590,1540689255052,327909,-1.780407902e+07,2396,1515,240913,6732,36712,26114,172725,238094,35686,1600,29,0,0
600,1540689273129,327512,-1.781377908e+07,2414,1420,241413,6465,37395,27034,171844,238266,36224,1773,27,0,0
610,1540689289404,327090,-1.782420245e+07,2412,1394,241008,6741,38417,27175,171601,237719,37044,1740,30,0,0
620,1540689306174,326699,-1.783657747e+07,2362,1355,241506,6987,39986,27475,170471,237641,38060,1938,24,0,0
630,1540689322016,326258,-1.783988577e+07,2416,1351,240690,6751,40456,28406,170444,237294,38443,1922,31,0,0
640,1540689338499,325829,-1.784915847e+07,2442,1310,240713,6730,41049,28414,170490,236665,38977,1969,33,0,0
650,1540689354859,325444,-1.785793828e+07,2383,1406,240926,6806,42408,28769,169306,237153,39518,2119,38,0,0
660,1540689371625,325056,-1.786594584e+07,2464,1391,241107,6720,42587,29166,168926,237124,39975,2075,34,0,0
670,1540689387904,324673,-1.787727283e+07,2475,1367,241121,7196,43793,29762,167787,237287,40791,2231,38,0,0
680,1540689404561,324286,-1.788345314e+07,2510,1454,241146,6730,44446,30151,167637,236762,41561,2143,31,0,0
690,1540689420633,323898,-1.789022168e+07,2621,1335,240571,6923,44896,30705,167356,236839,41638,2268,33,0,0
